elapsed_s,throughput_bps,fps,total_freeze_s,qp_avg
2.003,-1,25.00,0.000,-1
4.004,1156192,30.00,0.000,25.645
6.006,1241558,30.00,0.000,30.881
8.011,1288953,29.00,0.000,31.153
10.012,1374769,30.00,0.000,30.746
12.014,1503256,29.00,0.000,30.517
14.019,1430097,29.00,0.000,30.508
16.022,1238596,30.00,0.000,30.452
18.023,1083055,30.00,0.000,41.295
20.024,1435354,29.00,0.000,43.678
22.025,1194328,30.00,0.000,61.136
24.026,1094364,30.00,0.000,47.790
26.028,1301422,27.00,0.000,36.930
28.029,1268907,14.00,0.000,36.214
30.030,1134328,27.00,0.000,92.509
32.031,1069710,30.00,0.000,105.540
34.032,1205234,30.00,0.000,58.867
36.034,1432207,33.00,0.000,19.210
38.037,1172020,30.00,0.000,21.100
40.038,1312060,31.00,0.000,19.918
42.040,1441647,30.00,0.000,17.717
44.040,1350227,29.00,0.000,19.576
46.043,1355649,30.00,0.000,18.746
48.044,1468717,30.00,0.000,18.230
50.045,1465133,29.00,0.000,18.695
52.047,1367413,29.00,0.000,25.220
54.048,1434308,30.00,0.000,23.400
56.049,1458648,30.00,0.000,30.305
58.050,1332724,32.00,0.000,48.355
60.051,1161194,29.00,0.000,60.390
62.053,1088652,30.00,0.000,48.763
64.054,1105386,30.00,0.000,41.305
66.056,1472897,29.00,0.000,39.441
68.057,1284848,30.00,0.000,32.000
70.067,1392385,30.00,0.000,16.746
72.061,1462019,30.00,0.000,17.066
74.062,1471326,30.00,0.000,16.833
76.068,1347082,30.00,0.000,17.950
78.069,1036303,30.00,0.000,40.233
80.073,1141159,30.00,0.000,35.883
82.073,1291548,30.00,0.000,30.550
84.075,1280964,30.00,0.000,33.233
86.076,1121511,30.00,0.000,43.717
88.078,1461968,31.00,0.000,34.295
90.078,1287016,30.00,0.188,73.246
92.080,945139,30.00,0.188,79.167
94.085,1190064,30.00,0.188,57.017
96.086,1304503,31.00,0.188,59.607
98.088,951466,30.00,0.188,90.200
100.090,1076966,30.00,0.188,80.117
102.095,1169960,30.00,0.188,48.517
104.097,1241773,30.00,0.188,28.100
106.103,1398143,30.00,0.188,29.850
108.103,1347920,30.00,0.188,29.850
110.105,1027567,30.00,0.188,35.650
112.107,1318051,30.00,0.188,30.200
114.107,1385885,30.00,0.188,28.000
116.108,1369875,30.00,0.188,31.967
118.109,1085866,30.00,0.188,46.950
120.111,1150464,30.00,0.188,58.950
122.113,1389083,30.00,0.188,44.767
124.114,1537817,25.00,0.188,40.545
126.120,1343926,21.00,0.188,55.774
128.117,1193550,22.00,0.188,91.925
130.119,1045341,13.00,0.188,106.000
132.122,1092349,26.00,0.188,106.000
134.123,1273322,29.00,0.188,66.179
136.125,1304499,30.00,0.188,23.800
138.126,1379878,29.00,0.188,19.678
140.127,1187299,30.00,0.188,20.100
142.128,1096144,30.00,0.188,21.150
144.129,1166245,30.00,0.188,23.600
146.130,1340020,30.00,0.188,22.183
148.133,1448116,30.00,0.188,18.984
150.135,1478466,30.00,0.188,18.000
152.136,1442060,30.00,0.188,21.933
154.137,1481164,25.00,0.188,27.692
156.138,1264439,42.00,0.188,49.500
158.139,782840,30.00,0.188,61.754
160.140,873206,29.00,0.188,43.966
162.142,1127728,30.00,0.188,41.254
164.143,1258233,29.00,0.188,36.793
166.147,1111533,30.00,0.188,35.333
168.148,1286194,20.00,0.188,30.100
170.148,1231752,34.00,0.613,26.269
172.150,1009909,29.00,0.613,35.500
174.151,1073788,29.00,0.613,27.915
176.157,1070530,29.00,0.613,23.746
178.158,1244473,30.00,0.613,25.033
180.159,1301993,30.00,0.613,22.200
