elapsed_s,throughput_bps,fps,total_freeze_s,qp_avg
2.004,-1,29.00,0.000,-1
4.004,1138642,30.00,0.000,26.966
6.005,1491092,17.00,0.000,22.886
8.011,1609693,32.00,0.000,31.063
10.010,1323887,32.00,0.000,41.197
12.010,1110588,33.00,0.000,63.771
14.015,1015160,29.00,0.000,45.932
16.016,1096992,29.00,0.000,35.776
18.017,1388524,29.00,0.000,48.086
20.020,1476293,29.00,0.000,42.017
22.021,1322662,29.00,0.000,40.441
24.022,1372986,29.00,0.000,36.492
26.026,1570707,29.00,0.000,40.556
28.028,1323381,30.00,0.000,75.944
30.030,1237142,22.00,0.000,105.529
32.031,1260071,26.00,0.000,106.000
34.032,971870,29.00,0.000,66.517
36.034,1260057,29.00,0.000,20.576
38.035,1255799,29.00,0.000,19.931
40.036,1136832,30.00,0.000,21.593
42.037,1191529,30.00,0.000,20.203
44.039,1174283,30.00,0.000,20.800
46.039,1311415,30.00,0.000,21.333
48.043,1385719,30.00,0.000,19.810
50.044,1214295,32.00,0.000,23.871
52.045,931605,30.00,0.000,38.150
54.050,1141437,30.00,0.000,32.050
56.051,1284496,30.00,0.000,30.250
58.052,1503034,30.00,0.000,26.183
60.053,1379181,26.00,0.000,33.889
62.054,1176713,31.00,0.000,66.100
64.055,649025,30.00,0.000,70.390
66.056,766029,29.00,0.000,63.898
68.057,831257,29.00,0.000,54.983
70.061,1088611,30.00,0.000,26.317
72.062,1163568,30.00,0.000,21.567
74.063,1299342,26.00,0.000,17.107
76.065,1234518,32.00,0.236,26.370
78.068,728019,29.00,0.236,36.535
80.069,638884,30.00,0.236,28.983
82.072,763526,30.00,0.236,25.695
84.074,1099549,30.00,0.236,25.583
86.075,1322339,30.00,0.236,21.917
88.076,1327897,30.00,0.236,45.200
90.077,1145321,31.00,0.236,87.803
92.078,794786,30.00,0.236,104.483
94.081,666282,30.00,0.236,77.133
96.082,704491,30.00,0.236,56.034
98.084,911600,31.00,0.236,61.633
100.086,1107214,30.00,0.236,50.034
102.088,748839,30.00,0.236,32.733
104.099,716888,30.00,0.236,24.367
106.101,708327,30.00,0.236,25.131
108.102,1024929,30.00,0.236,25.517
110.103,1390856,30.00,0.236,21.917
112.105,697802,30.00,0.236,30.333
114.105,666887,31.00,0.236,31.590
116.107,907308,30.00,0.236,29.517
118.111,1033853,30.00,0.236,30.367
120.113,1088740,30.00,0.236,33.600
122.116,1119964,30.00,0.236,31.550
124.122,1250126,30.00,0.236,31.639
126.123,1208980,31.00,0.236,31.000
128.124,1233027,30.00,0.236,26.867
130.127,1269735,15.00,0.765,28.543
132.130,1231113,39.00,0.990,72.086
134.132,1396743,36.00,0.990,103.082
136.135,1207281,30.00,0.990,40.733
138.138,1481963,29.00,0.990,25.300
140.146,1421337,30.00,0.990,25.767
142.148,1089790,31.00,0.990,26.328
144.148,1291103,29.00,0.990,24.441
146.152,1238066,29.00,0.990,20.593
148.152,1212057,30.00,0.990,18.417
150.153,1470374,29.00,0.990,17.377
152.158,1465422,32.00,0.990,26.000
154.162,1302479,28.00,1.237,72.231
156.162,1278042,36.00,1.237,89.397
158.165,1226739,30.00,1.237,98.716
160.165,1339818,30.00,1.237,39.710
162.166,1491657,30.00,1.237,32.200
164.170,1131726,30.00,1.237,36.127
166.171,1201749,30.00,1.237,37.650
168.175,916652,30.00,1.237,38.817
170.175,982012,30.00,1.237,21.467
172.177,1360070,29.00,1.237,15.068
174.177,1248679,21.00,1.692,18.459
176.179,1136823,47.00,1.692,31.358
178.180,1098776,30.00,1.692,29.311
180.182,1121503,30.00,1.692,19.283
