elapsed_s,throughput_bps,fps,total_freeze_s,qp_avg
2.002,-1,29.00,0.000,-1
4.003,2429829,30.00,0.000,15.917
6.005,2475029,30.00,0.000,17.283
8.007,1962818,30.00,0.000,18.311
10.009,1221080,30.00,0.000,50.864
12.012,1327003,29.00,0.000,30.542
14.013,1262524,31.00,0.000,24.869
16.014,1244491,30.00,0.000,25.033
18.016,1411897,31.00,0.000,35.836
20.021,1745027,29.00,0.000,36.695
22.024,1485293,29.00,0.000,29.475
24.026,1366086,31.00,0.000,38.483
26.028,1293475,30.00,0.000,44.750
28.033,1324612,30.00,0.000,46.852
30.036,1763697,30.00,0.000,42.317
32.037,1704781,30.00,0.000,35.967
34.039,1336004,31.00,0.000,41.770
36.040,1238080,31.00,0.000,33.083
38.042,1161349,30.00,0.000,27.339
40.043,1264181,30.00,0.000,27.049
42.045,1190864,30.00,0.000,29.000
44.049,1392170,30.00,0.000,29.750
46.052,1560014,30.00,0.000,34.066
48.054,1298217,30.00,0.000,31.467
50.057,1193230,29.00,0.000,26.932
52.061,1285486,30.00,0.000,34.417
54.062,1136437,30.00,0.000,37.738
56.066,1174578,30.00,0.000,39.150
58.066,1622240,30.00,0.000,37.500
60.072,2001160,30.00,0.000,35.067
62.075,1944473,30.00,0.000,28.367
64.075,1840389,30.00,0.000,30.683
66.077,1774942,30.00,0.000,33.017
68.079,1692631,30.00,0.000,31.150
70.083,1818462,30.00,0.000,16.508
72.086,1871305,30.00,0.000,16.567
74.087,1974962,30.00,0.000,16.559
76.088,1863941,30.00,0.000,17.683
78.090,1741556,30.00,0.000,17.750
80.096,1059476,30.00,0.000,39.333
82.100,1784426,30.00,0.000,39.850
84.101,1600418,30.00,0.000,23.433
86.102,1677311,30.00,0.000,27.067
88.104,1768542,30.00,0.000,25.433
90.105,1541702,30.00,0.000,34.067
92.109,1870872,30.00,0.000,26.533
94.112,1875171,30.00,0.000,27.230
96.113,1837938,30.00,0.000,29.633
98.116,1860859,30.00,0.000,30.983
100.117,1809797,30.00,0.000,33.083
102.121,1413040,30.00,0.000,27.767
104.125,1226527,37.00,0.246,35.950
106.127,854960,30.00,0.246,36.150
108.127,1093689,30.00,0.246,28.383
110.132,1138986,30.00,0.246,27.417
112.131,1216499,30.00,0.246,27.167
114.138,1302818,30.00,0.246,25.200
116.139,1468589,30.00,0.246,22.400
118.140,1662450,30.00,0.246,23.517
120.144,1745759,30.00,0.246,30.833
122.144,1319512,30.00,0.246,41.150
124.147,1380660,30.00,0.246,42.246
126.150,1584730,30.00,0.246,36.000
128.151,1532696,30.00,0.246,35.900
130.155,1544596,30.00,0.246,40.633
132.158,1462303,30.00,0.246,41.250
134.160,1542154,30.00,0.246,39.133
136.165,1457575,28.00,0.246,23.603
138.163,1585019,30.00,0.246,19.083
140.165,1627891,30.00,0.246,18.983
142.171,1321606,30.00,0.246,23.050
144.173,1552548,29.00,0.246,22.967
146.174,1445066,31.00,0.246,23.738
148.181,1596495,30.00,0.246,21.850
150.182,1665989,30.00,0.246,19.733
152.184,1367159,30.00,0.246,33.150
154.185,1561281,30.00,0.246,28.867
156.187,1588408,30.00,0.246,29.083
158.189,1572861,30.00,0.246,29.533
160.193,1378699,30.00,0.246,34.600
162.193,1535152,30.00,0.246,36.967
164.195,1315965,30.00,0.246,42.383
166.196,1451255,30.00,0.246,42.607
168.198,1469312,30.00,0.246,39.983
170.199,1584383,30.00,0.246,18.033
172.210,1611982,30.00,0.246,18.550
174.212,1637980,30.00,0.246,18.617
176.215,1597262,30.00,0.246,20.000
178.217,1212814,30.00,0.246,26.850
180.220,964058,30.00,0.246,36.617
