elapsed_s,throughput_bps,fps,total_freeze_s,qp_avg
2.003,-1,30.00,0.000,-1
4.010,1349368,30.00,0.000,26.200
6.013,2046870,27.00,0.000,16.464
8.015,2094879,32.00,0.000,27.017
10.016,1584156,31.00,0.000,28.825
12.019,1722244,31.00,0.000,29.098
14.020,1966415,30.00,0.000,29.283
16.022,2033892,30.00,0.000,25.328
18.024,1864557,30.00,0.000,29.850
20.028,2212969,30.00,0.000,32.033
22.031,2146645,30.00,0.000,29.267
24.033,1971486,30.00,0.000,30.200
26.034,1993743,30.00,0.000,32.550
28.039,1667406,30.00,0.000,35.867
30.043,1889453,31.00,0.000,33.377
32.046,1531807,30.00,0.000,37.183
34.047,1634631,30.00,0.000,44.017
36.049,2006678,30.00,0.000,19.350
38.050,2077893,28.00,0.000,17.879
40.051,1929073,30.00,0.000,19.817
42.052,1886232,30.00,0.000,20.800
44.054,2174037,30.00,0.000,19.517
46.055,2126410,30.00,0.000,20.817
48.057,1995251,30.00,0.000,20.750
50.058,2043955,30.00,0.000,21.450
52.059,1646545,30.00,0.000,29.233
54.060,2053393,30.00,0.000,22.217
56.061,2021003,30.00,0.000,27.650
58.063,1701257,35.00,0.000,57.763
60.065,932737,30.00,0.000,105.750
62.067,883130,30.00,0.000,104.183
64.067,1328959,30.00,0.000,78.033
66.069,1853371,30.00,0.000,52.400
68.071,1887445,30.00,0.000,37.541
70.072,2045411,30.00,0.000,18.450
72.074,1800333,30.00,0.000,18.617
74.076,1860501,30.00,0.000,17.250
76.077,1868483,30.00,0.000,17.383
78.078,1860393,30.00,0.000,18.017
80.079,1857124,30.00,0.000,17.783
82.081,1858105,30.00,0.000,17.483
84.085,1836222,30.00,0.000,19.167
86.087,1779855,30.00,0.000,26.567
88.089,1793746,30.00,0.000,24.483
90.095,1817949,30.00,0.000,25.717
92.095,1684779,30.00,0.000,28.867
94.094,1680290,30.00,0.000,30.250
96.100,1819171,30.00,0.000,42.475
98.101,1843386,30.00,0.000,44.367
100.107,2077663,30.00,0.000,37.767
102.107,2003842,30.00,0.000,31.150
104.111,2076153,30.00,0.000,19.250
106.115,1857126,30.00,0.000,19.817
108.115,1838306,30.00,0.000,18.633
110.117,1744825,23.00,0.208,22.154
112.118,983489,30.00,0.208,39.309
114.119,881551,30.00,0.208,34.383
116.121,910303,30.00,0.208,31.133
118.123,913424,29.00,0.208,41.183
120.124,1075569,30.00,0.208,53.770
122.131,1653273,30.00,0.208,36.567
124.131,1873237,30.00,0.208,24.667
126.134,1833336,41.00,0.208,51.593
128.135,1343117,30.00,0.208,93.600
130.136,1304593,30.00,0.208,68.367
132.141,1591051,30.00,0.208,63.617
134.143,1981488,30.00,0.208,56.433
136.145,1498334,29.00,0.208,31.033
138.146,1524748,29.00,0.208,24.667
140.147,1740872,30.00,0.208,18.459
142.149,1833839,30.00,0.208,17.950
144.151,1574254,30.00,0.208,20.767
146.152,1542326,30.00,0.208,21.450
148.154,1935236,30.00,0.208,21.000
150.156,1847353,30.00,0.208,18.067
152.157,1402503,30.00,0.208,29.883
154.158,1318148,30.00,0.208,32.817
156.159,1700160,30.00,0.208,32.600
158.160,2087729,28.00,0.208,28.931
160.161,2106949,30.00,0.208,29.967
162.163,2033250,30.00,0.208,35.583
164.164,1765765,30.00,0.208,42.233
166.166,1909927,29.00,0.208,43.750
168.167,1801977,30.00,0.208,39.574
170.170,2020223,29.00,0.208,18.407
172.171,1956462,30.00,0.208,17.049
174.174,1652373,30.00,0.208,18.083
176.175,1759159,30.00,0.208,18.917
178.179,1853614,30.00,0.208,17.817
180.180,1833694,30.00,0.208,17.900
