elapsed_s,throughput_bps,fps,total_freeze_s,qp_avg
2.003,-1,28.00,0.000,-1
4.007,1750984,31.00,0.000,20.262
6.011,1765758,31.00,0.000,19.869
8.012,1744523,30.00,0.000,20.328
10.013,1608623,30.00,0.000,20.817
12.015,1592116,30.00,0.000,20.867
14.016,1600225,30.00,0.000,20.517
16.018,1617410,29.00,0.000,20.317
18.023,1725492,30.00,0.000,26.672
20.025,1997677,30.00,0.000,25.233
22.027,1973322,30.00,0.000,25.533
24.029,1800552,30.00,0.000,26.033
26.030,1933297,30.00,0.000,27.933
28.031,2170537,29.00,0.000,25.593
30.033,1549898,30.00,0.000,35.450
32.037,1591359,30.00,0.000,37.000
34.038,1625106,30.00,0.000,37.083
36.039,1658568,29.00,0.000,17.864
38.040,1658758,30.00,0.000,18.400
40.041,1491178,30.00,0.000,20.483
42.045,1500281,30.00,0.000,21.733
44.049,1881951,30.00,0.000,21.705
46.050,1817297,30.00,0.000,20.617
48.051,1690513,30.00,0.000,21.900
50.052,1713805,30.00,0.000,22.967
52.056,2051052,30.00,0.000,29.783
54.059,2060861,30.00,0.000,27.517
56.060,1894376,30.00,0.000,29.083
58.064,1812400,30.00,0.000,29.574
60.065,1832222,30.00,0.000,31.500
62.068,2361466,30.00,0.000,37.650
64.069,1842995,30.00,0.000,34.576
66.071,1636427,30.00,0.000,36.067
68.072,1691928,30.00,0.000,31.900
70.076,1776747,30.00,0.000,16.300
72.078,1724216,30.00,0.000,18.350
74.079,1622125,30.00,0.000,19.833
76.080,1752223,30.00,0.000,18.417
78.081,1929379,30.00,0.000,19.350
80.086,1770853,30.00,0.000,18.800
82.087,1510592,30.00,0.000,22.033
84.090,1522584,30.00,0.000,26.100
86.091,1704236,30.00,0.000,33.683
88.093,1843954,30.00,0.000,26.767
90.094,1825754,30.00,0.000,27.350
92.095,1461410,30.00,0.000,31.383
94.098,1384209,30.00,0.000,34.583
96.101,1499002,30.00,0.000,40.600
98.102,1618866,31.00,0.000,37.590
100.103,1711275,30.00,0.000,35.600
102.105,1693173,30.00,0.000,29.967
104.106,1760594,30.00,0.000,17.600
106.107,1837039,30.00,0.000,17.300
108.109,2368914,30.00,0.000,20.033
110.111,1988469,30.00,0.000,19.717
112.114,1541547,30.00,0.000,23.067
114.115,1698921,30.00,0.000,18.967
116.117,1625358,30.00,0.000,20.417
118.118,1583094,30.00,0.000,27.983
120.120,1566126,30.00,0.000,32.467
122.124,1600462,30.00,0.000,31.050
124.125,1585143,30.00,0.000,31.650
126.126,1403850,29.00,0.000,34.102
128.127,1725636,30.00,0.000,34.317
130.130,1901477,29.00,0.000,32.967
132.132,1550774,30.00,0.000,36.148
134.133,1517066,29.00,0.000,39.763
136.136,1520299,30.00,0.000,23.918
138.138,1614057,30.00,0.000,19.267
140.142,2060160,30.00,0.000,18.800
142.144,1923545,30.00,0.000,16.567
144.146,1728508,30.00,0.000,21.383
146.148,1758335,30.00,0.000,20.950
148.149,1756314,30.00,0.000,20.200
150.150,1619615,30.00,0.000,20.100
152.155,1595512,30.00,0.000,27.033
154.153,1581582,30.00,0.000,27.883
156.154,1612525,30.00,0.000,28.867
158.155,2009570,30.00,0.000,27.433
160.158,1894142,30.00,0.000,28.650
162.159,1459553,30.00,0.000,40.283
164.160,1491785,30.00,0.000,43.800
166.161,1922205,30.00,0.000,42.900
168.164,1894971,31.00,0.000,38.623
170.165,1688341,30.00,0.000,18.133
172.166,1982565,30.00,0.000,18.550
174.172,1569299,30.00,0.000,22.167
176.173,1596078,30.00,0.000,19.567
178.176,1530271,30.00,0.000,21.717
180.174,1572555,30.00,0.000,21.733
