elapsed_s,throughput_bps,fps,total_freeze_s,qp_avg
2.007,-1,30,0,-1
4.01,1240165,30,0,28.317
6.012,1345681,27,0,21.571
8.016,1343962,31,0,23.508
10.018,1096759,31,0,27.21
12.019,1055336,31,0,28.645
14.02,963819,30,0,30.483
16.025,1345420,30,0,29.607
18.026,1514802,30,0,30.983
20.027,1203328,30,0,43.95
22.029,1236625,30,0,45
24.03,1384056,30,0,44.45
26.033,1500107,30,0,41.033
28.034,1229140,30,0,44.4
30.035,1251394,30,0,63.8
32.039,1159119,31,0,70.574
34.042,1407345,30,0,63.367
36.043,1435436,30,0,26.033
38.05,1326515,29,0,25.932
40.052,1366911,30,0,27.867
42.055,1563653,30,0,24.6
44.055,1291723,30,0,25.15
46.057,1271895,30,0,25.4
48.062,1241159,30,0,25.317
50.064,1270669,30,0,26.05
52.066,1257896,30,0,35.283
54.07,1086030,30,0,36.967
56.07,1251534,29,0,40.533
58.073,1318775,29,0,39.3
60.075,1427708,30,0,38.017
62.078,1094632,30,0,61.85
64.08,1156516,30,0,65.017
66.085,1444654,30,0,58.164
68.086,1483462,30,0,49.117
70.087,1318329,30,0,25.05
72.091,1119073,30,0,27.883
74.092,1402385,30,0,24
76.093,1211914,30,0,25.083
78.094,1199020,30,0,26.85
80.097,1316072,30,0,26.067
82.1,1473575,30,0,25.783
84.102,1358641,30,0,31.317
86.103,1154831,30,0,43.25
88.106,1315655,29,0,32.983
90.107,1312470,30,0,33.85
92.109,1227490,29,0,36.898
94.111,1152268,30,0,49.45
96.111,1174747,31,0,56.148
98.114,1425393,29,0,49.203
100.115,1299564,29,0,55.533
102.117,1090875,30,0,52.459
104.118,1207834,30,0,28.85
106.121,1236283,30,0,29.3
108.122,1399311,30,0,29.1
110.13,1319706,30,0,28.467
112.135,1320178,30,0,29.15
114.14,1408775,29,0,26.167
116.142,1288698,30,0,25.95
118.143,1104765,29,0,34.533
120.146,1140312,30,0,42.426
122.147,1274884,30,0,38.783
124.149,1276696,30,0,39.517
126.15,1285520,30,0,43.983
128.15,1154099,30,0,43.6
130.152,1122793,30,0,50.033
132.154,1303082,30,0,53.567
134.156,1142827,30,0,56.917
136.158,793823,30,0,41.067
138.159,706086,30,0,35.35
140.16,663749,30,0,38.683
142.163,781419,30,0,39.25
144.164,1136847,30,0,33.717
146.167,1359840,29,0,23.833
148.168,1364643,29,0,23.383
150.169,1329946,30,0,24.217
152.17,1239204,30,0,34.167
154.171,1270477,30,0,34.2
156.173,1283333,30,0,34.717
158.174,1069924,29,0,40.183
160.176,978022,30,0,51.164
162.178,881367,30,0,57.417
164.18,1205401,30,0,63.65
166.182,1298241,30,0,48.917
168.183,1312567,30,0,47.617
170.185,1308119,30,0,22.217
172.187,1300517,30,0,23.233
174.189,1328650,30,0,22.817
176.19,1329218,30,0,23.483
178.191,1284806,30,0,25.033
180.205,1277463,30,0,24.75
,1242785.98876404,29.8876404494382,0,37.1091011235955
