elapsed_s,throughput_bps,fps,total_freeze_s,qp_avg
2.002,-1,29,0,-1
4.004,841389,29,0,31.695
6.007,879735,30,0,30.75
8.008,886346,30,0,30.948
10.01,702558,30,0,39
12.016,638775,30,0,41.898
14.017,707487,30,0,38.153
16.018,759137,29,0,37.407
18.021,770011,30,0,59.433
20.022,804613,29,0,59.627
22.026,860351,30,0,56.433
24.027,876396,30,0,55.117
26.031,884678,30,0,56
28.032,883692,30,0,55.417
30.036,749574,30,0,99.322
32.038,680722,29,0,106
34.039,632385,30,0,71.467
36.04,754668,30,0,23.767
38.041,751532,30,0,23.883
40.044,814371,30,0,22.5
42.045,852475,30,0,22.633
44.047,877298,30,0,22.7
46.048,747567,30,0,24.483
48.049,683357,30,0,25.867
50.053,708161,30,0,27.433
52.054,711561,30,0,37.133
54.057,768453,30,0,33.567
56.059,797779,30,0,33.85
58.061,817993,30,0,34.183
60.062,855617,30,0,34.65
62.067,878491,30,0,36.721
64.07,883572,30,0,37.717
66.071,886066,30,0,39.3
68.072,710582,30,0,45.533
70.073,654787,31,0,26.475
72.074,719212,30,0,24.517
74.076,757287,30,0,24.15
76.077,773526,30,0,23.9
78.078,814681,29,0,24
80.082,842960,30,0,23.4
82.088,878729,30,0,21.016
84.093,755570,30,0,53.117
86.094,727286,30,0,66.017
88.095,713861,30,0,66.4
90.096,700194,30,0,69.881
92.098,739818,29,0,66.65
94.099,778944,31,0,64.689
96.1,814359,30,0,70.35
98.103,832864,30,0,72.517
100.104,855437,30,0,73.533
102.105,807262,30,0,50.883
104.106,828873,30,0,31.967
106.107,722100,30,0,35.45
108.109,695379,30,0,38.183
110.11,722795,30,0,38.033
112.111,771895,30,0,36.203
114.114,786765,29,0,34.814
116.114,832643,30,0,33.25
118.117,854089,30,0,44.967
120.12,614311,30,0,91.508
122.121,685601,30,0,85.083
124.125,759602,30,0,64.117
126.127,770728,30,0,64.65
128.131,801993,30,0,64.5
130.13,805818,30,0,71.95
132.131,842067,30,0,73.217
134.132,870575,30,0,71.1
136.134,830370,30,0,38.933
138.136,731303,30,0,34.917
140.137,703901,30,0,36.65
142.139,691384,30,0,38.183
144.139,751300,30,0,37.017
146.142,792683,30,0,35.517
148.144,799731,30,0,34.433
150.145,848304,30,0,33.833
152.146,870912,30,0,51.733
154.148,860757,30,0,53.833
156.149,792561,29,0,58.833
158.15,649937,29,0,81.883
160.151,725782,30,0,74.377
162.154,772699,30,0,69.033
164.154,762418,30,0,76.533
166.157,805961,31,0,80.695
168.16,783294,30,0,75.583
170.161,861149,30,0,32.033
172.17,871996,30,0,31.3
174.169,745790,30,0,36.017
176.171,702482,30,0,37.867
178.175,687946,30,0,40.233
180.176,716887,30,0,38.517
,779201.685393258,29.9325842696629,0,47.4497415730337
