elapsed_s,throughput_bps,fps,total_freeze_s,qp_avg
2.006,-1,29,0,-1
4.008,1604887,28,0,35.231
6.012,1637210,30,0,41.918
8.013,1556649,31,0,41.59
10.016,1393049,33,0,48.547
12.018,1352110,29,0,49.717
14.031,1594672,30,0,42.695
16.026,1695726,27,0,38.947
18.027,1553238,27,0,69.793
20.029,1535762,25,0,105.377
22.031,1656988,26,0,106
24.031,1447192,31,0,74.033
26.033,1504289,31,0,46.274
28.034,1437384,30,0,54.311
30.034,1476389,30,0,59.317
32.039,1514186,30,0,64.712
34.042,1457905,31,0,65.689
36.043,1174392,31,0,37.016
38.045,1120063,30,0,35.583
40.046,1494633,30,0,28.067
42.048,1606320,28,0,25.931
44.05,1638986,29,0,26.582
46.051,1566915,29,0,32.565
48.053,1544820,30,0,28.885
50.054,1602944,30,0,27.203
52.055,1568420,31,0,42.917
54.057,1521552,30,0,45.254
56.061,1593378,30,0,46.729
58.062,1585626,30,0,44.881
60.063,1588755,30,0,44.085
62.065,1602939,30,0,50.967
64.067,1618037,30,0,54.119
66.067,1554715,30,0,59.424
68.071,1377982,31,0,62.86
70.073,1448526,31,0,34.712
72.074,1460163,30,0,30.133
74.075,1521994,30,0,28.119
76.078,1521348,29,0,27.19
78.082,1523324,27,0,28.754
80.082,1424366,30,0,29.948
82.085,1424648,32,0,31.213
84.086,1345153,29,0,31.907
86.092,1363413,33,0,53.419
88.094,1212819,34,0,59.439
90.095,1340341,31,0,65.141
92.096,1548135,30,0,53.55
94.098,1499096,30,0,48.067
96.1,1472796,30,0,59.717
98.102,1427730,29,0,62
100.102,1493990,30,0,70.133
102.103,1459038,30,0,58.8
104.104,1510524,30,0,27
106.105,1470879,31,0,31.333
108.107,1592742,30,0,27.217
110.108,1596025,30,0,26.167
112.109,1618650,29,0,29.085
114.11,1590387,30,0,27.55
116.112,1620727,30,0.193,25.898
118.112,1541278,30,0.193,31.603
120.115,1570603,29,0.193,43.424
122.116,1654301,28,0.193,40.339
124.12,1726080,27,0.193,43.491
126.123,1578080,29,0.193,40.169
128.125,1620710,27,0.193,43.696
130.128,1510526,30,0.193,50.439
132.131,1585736,29,0.193,56.607
134.131,1588145,29,0.193,57.183
136.133,1600969,25,0.193,59.13
138.137,1552359,30,0.193,27.817
140.141,1619400,30,0.193,27.317
142.141,1544787,30,0.193,28.35
144.143,1551162,30,0.193,32.869
146.145,1539549,31,0.193,30.403
148.147,1522033,29,0.193,30.85
150.147,1571704,30,0.193,30.574
152.149,1634170,31,0.193,31.361
154.151,1630171,31,0.193,42.016
156.157,1650696,30,0.193,38.557
158.16,1569689,31,0.193,39.35
160.161,1571193,29,0.193,44.508
162.163,1551424,30,0.193,50.067
164.165,1484526,30,0.193,57.541
166.165,1517417,29,0.193,61.966
168.168,1574700,29,0.193,66.78
170.168,1735388,30,0.193,56.607
172.17,1628250,30,0.193,26.967
174.172,1628636,30,0.193,24.933
176.172,1554911,30,0.193,25.153
178.173,1547567,30,0.193,29.417
180.174,1558280,30,0.193,28.705
,1532352.43820225,29.7303370786517,0.193,43.8415730337079
