elapsed_s,throughput_bps,fps,total_freeze_s,qp_avg
2.006,-1,30,0,-1
4.006,1587635,30,0,22.61
6.008,2038539,30,0,16.15
8.009,2629500,30,0,15.183
10.011,2550994,30,0,16.017
12.013,2453859,30,0,17.55
14.019,2499736,29,0,17.333
16.022,2521981,30,0,17.23
18.024,2502813,30,0,18.783
20.028,2509935,30,0,17.417
22.029,2506982,30,0,19.15
24.031,2521868,30,0,20.55
26.033,2486699,30,0,21.833
28.034,2516498,30,0,23
30.038,2524547,30,0,23.117
32.04,2498034,30,0,24.033
34.041,2437930,30,0,25.25
36.042,2562835,30,0,12.633
38.044,2508432,30,0,13.667
40.045,2480942,29,0,14.271
42.046,2487386,30,0,16.803
44.048,2525537,30,0,17.217
46.052,2477369,30,0,17.35
48.054,2529557,30,0,17.25
50.056,2523090,30,0,17.433
52.057,2489013,30,0,18.683
54.058,2506944,30,0,18.05
56.061,2522805,30,0,19.867
58.062,2499556,30,0,21.467
60.064,2518246,30,0,22.467
62.065,2507660,30,0,22.717
64.067,2512387,30,0,22.75
66.067,2492036,30,0,24
68.073,2450426,30,0,22.1
70.075,2491113,29,0,12.831
72.077,2518424,30,0,13.705
74.079,2527886,31,0,15.067
76.079,2477037,30,0,16.9
78.084,2495777,30,0,17.15
80.087,2528718,30,0,17.25
82.089,2519929,30,0,17.15
84.093,2524354,30,0,18.183
86.096,2489365,30,0,19.933
88.099,2511022,30,0,18.65
90.101,2507000,30,0,20.217
92.102,2532063,30,0,21.417
94.105,2496664,30,0,21.833
96.111,2507378,30,0,22.656
98.113,2519318,30,0,23.05
100.118,2495655,30,0,24.567
102.118,2486142,30,0,19.65
104.119,2508490,30,0,13.383
106.121,2515968,30,0,13.6
108.121,2497073,30,0,15.167
110.124,2508668,30,0,16.967
112.129,2506076,30,0,17.3
114.13,2512273,30,0,17.3
116.132,2502577,30,0,17.2
118.133,2515323,30,0,19.133
120.133,2516532,30,0,17.917
122.135,2504082,30,0,19.633
124.139,2495511,30,0,20.317
126.141,2527612,30,0,20.717
128.142,2518654,31,0,22.344
130.144,2501848,30,0,22.7
132.147,2504285,30,0,23.383
134.154,2425814,30,0,25.3
136.155,2533649,30,0,14.65
138.157,2484695,30,0,13.517
140.159,2476967,30,0,14.017
142.164,2480458,30,0,16.633
144.165,2517181,30,0,16.95
146.168,2498453,30,0,17.25
148.171,2518612,30,0,17.083
150.172,2527504,30,0,17.133
152.174,2493267,29,0,18.867
154.176,2542770,30,0,17.833
156.176,2482386,30,0,20.328
158.177,2506413,30,0,21.05
160.179,2483911,31,0,22.667
162.18,2544697,30,0,22.5
164.183,2489829,30,0,23.217
166.185,2508897,30,0,23.467
168.186,2421604,30,0,24.533
170.189,2573927,30,0,12.617
172.19,2512169,30,0,13.65
174.194,2509712,30,0,14.367
176.194,2509210,30,0,16.85
178.198,2495643,30,0,17.217
180.204,2505259,30,0,17.3
,2490872.07865169,29.9887640449438,0,18.7662584269663
