elapsed_s,throughput_bps,fps,total_freeze_s,qp_avg
2.004,-1,25,0,-1
4.006,1759363,28,0,38.316
6.008,1861064,30,0,39.033
8.009,1611119,31,0,44.557
10.01,1631403,32,0,43.2
12.014,1462338,30,0,52.034
14.015,1036099,29,0,68.475
16.027,1305171,29,0,56.6
18.029,1445477,26,0,67.571
20.031,1562962,24,0,104.545
22.033,1353863,21,0,106
24.038,1478731,30,0,62.167
26.04,1654157,30,0,46.4
28.041,1566375,30,0,48.932
30.042,1732403,30,0,49.3
32.047,1744974,27,0,52.538
34.048,1692627,26,0.188,54.362
36.051,1709750,30,0.188,41.206
38.051,1755876,31,0.188,27.226
40.053,1513572,19,0.188,23.878
42.055,1434724,31,0.47,30.369
44.057,1361556,30,0.47,33.186
46.057,1569530,31,0.47,31.607
48.059,1829042,30,0.47,25.983
50.06,1460109,32,0.47,34.048
52.067,1303203,29,0.47,59.279
54.071,1567179,30,0.47,49.098
56.072,1737488,30,0.47,37.65
58.073,1640525,25,0.909,39.941
60.074,1454343,32,0.909,56.5
62.076,1358814,30,0.909,60.211
64.077,1647770,31,0.909,71.705
66.078,1566019,30,0.909,60.383
68.08,1208114,31,0.909,76.823
70.083,1502109,31,0.909,30.065
72.085,1687109,32,0.909,27.969
74.088,1896820,30,0.909,23.129
76.088,1935665,30,0.909,27.61
78.09,2079560,27,0.909,21.759
80.091,1837826,23,0.909,22.231
82.102,1671642,30,0.909,29.812
84.095,1925643,30,0.909,27.6
86.096,1934214,31,0.909,37.016
88.098,1644637,30,0.909,41.167
90.102,1652467,33,0.909,40.429
92.101,1153533,32,0.909,55.966
94.103,1289761,31,0.909,71.677
96.104,1418859,29,0.909,59.283
98.106,1137086,33,0.909,80.086
100.107,1028427,30,0.909,105.754
102.108,1072960,30,0.909,88.733
104.11,1308609,30,0.909,31.683
106.11,1452197,32,0.909,29.935
108.111,1310607,30,0.909,31.79
110.117,1173718,29,0.909,35.717
112.118,1404754,30,0.909,32.933
114.12,1437179,29,0.909,35.831
116.12,1437939,29,0.909,36.424
118.123,1912952,34,0.909,33.108
120.124,1816726,31,0.909,45.694
122.126,1145078,29,0.909,58.034
124.128,829808,30,0.909,100.9
126.129,922910,30,0.909,85.817
128.131,1225026,30,0.909,59.203
130.133,1538838,30,0.909,54.508
132.138,1484784,31,0.909,64.328
134.139,1372590,30,0.909,71.267
136.14,1059578,30,0.909,43.814
138.141,1378595,30,0.909,29.767
140.142,1435046,30,0.909,28.9
142.145,1455592,30,0.909,31.983
144.153,1568678,29,0.909,29.712
146.157,1643426,31,0.909,29.902
148.158,1707267,30,0.909,29.583
150.159,1276236,30,0.909,36.95
152.16,1628931,30,0.909,38.25
154.161,1513080,30,0.909,40.95
156.162,1524616,29,0.909,43
158.165,1378672,30,0.909,51.131
160.165,1490089,30,0.909,47.317
162.167,1558275,30,0.909,47.817
164.174,1439471,30,0.909,59.383
166.175,1554900,31,0.909,54.705
168.176,1270477,30,0.909,71.783
170.178,1481655,30,0.909,28.267
172.182,1056614,30,0.909,36.933
174.182,1589384,32,0.909,31.113
176.183,1124521,30,0.909,36.183
178.186,1396642,30,0.909,32.25
180.189,1220896,30,0.909,34.733
,1487757.46067416,29.6966292134831,0.909,47.2472696629213
