elapsed_s,throughput_bps,fps,total_freeze_s,qp_avg
2.002,-1,29,0,-1
4.005,1373326,30,0,26.583
6.006,1882574,28,0,15.75
8.009,1639910,32,0,19.565
10.01,1430107,30,0,22.508
12.016,1619132,30,0,23.098
14.016,1818101,30,0,20.017
16.018,1709298,30,0,19.083
18.022,1648192,30,0,25.475
20.03,1921071,29,0,25.966
22.03,1987563,30,0,24.517
24.032,1785411,30,0,26.383
26.034,1624256,30,0,31.15
28.039,1857850,29,0,30.433
30.042,1849907,30,0,31.25
32.046,1498879,30,0,40.017
34.047,1138119,30,0,53.25
36.05,1296960,31,0,24.787
38.052,1662963,30,0,23.067
40.053,1879877,29,0,17.729
42.059,1789890,30,0,19.483
44.06,1432991,30,0,23.85
46.064,1468750,31,0,25.148
48.068,1779551,30,0,24.317
50.066,1834733,30,0,18.533
52.068,1679076,29,0,41.034
54.07,1067503,30,0,43.311
56.071,1310233,30,0,37.033
58.075,1705603,30,0,34.35
60.077,1838658,31,0,30.607
62.08,1855504,30,0,32.033
64.08,1736345,30,0,33.917
66.084,1910305,30,0,36.533
68.085,1527185,30,0,41.3
70.086,1850210,30,0,19.984
72.089,2008015,30,0,19.383
74.089,1886425,30,0,19.717
76.09,1896982,30,0,20.167
78.094,1743447,30,0,21.017
80.094,1918736,30,0,18.383
82.096,1672792,30,0,19.883
84.098,1470721,30,0,24.767
86.099,1384083,30,0,32.517
88.101,1473662,30,0,30.017
90.101,1671548,30,0,30.067
92.103,1896270,30,0,27.1
94.104,1730368,30,0,32.267
96.106,1119271,30,0,49.7
98.107,1172370,30,0,51.083
100.111,1611350,30,0,48.717
102.113,2004181,30,0,27.517
104.117,1852121,30,0,18.7
106.122,1497861,30,0,29.033
108.124,1059609,30,0,32.5
110.125,1226428,30,0,32.333
112.128,1598866,30,0,29.95
114.129,2042957,30,0,23.869
116.135,1977405,29,0,18.136
118.137,1889844,31,0,25.23
120.138,1644603,30,0,32.483
122.141,1685356,30,0,31.417
124.142,1716706,30,0,31.633
126.146,1848820,30,0,33.467
128.145,1831483,30,0,30.083
130.146,1823447,30,0,27.267
132.149,1634748,30,0,58.1
134.151,1034596,30,0,63.483
136.153,1242593,30,0,32.883
138.154,1740044,30,0,23.083
140.165,1721669,27,0,19.19
142.168,2031988,30,0,20.5
144.17,1806204,30,0,21.45
146.175,1790862,30,0,22.4
148.177,2073093,30,0,21.35
150.177,2079239,30,0,20.233
152.178,1982206,30,0,26.867
154.179,1736147,30,0,27.05
156.18,1472897,30,0,30.117
158.181,1535063,30,0,31.217
160.183,1937814,29,0,30.367
162.186,1827368,30,0,29.15
164.19,1388305,30,0,39.049
166.192,1237947,30,0,48.717
168.193,1761538,30,0,47.233
170.195,1898857,30,0,17.267
172.199,1666166,30,0,19.1
174.203,1467804,30,0,20.717
176.205,1592899,30,0,22.617
178.207,1924021,30,0,20.333
180.209,1862759,30,0,21.733
92.1083033707865,1676545.92134831,29.9438202247191,0,28.8165168539326
