elapsed_s,throughput_bps,fps,total_freeze_s,qp_avg
2.002,-1,29,0,-1
4.006,1260595,31,0,23.85
6.008,1075747,30,0,26.667
8.009,1048635,30,0,28
10.009,1090686,30,0,28.833
12.014,1121396,30,0,27.983
14.015,1135067,30,0,27.339
16.016,1182384,30,0,27.136
18.019,1179408,30,0,36.8
20.02,1212880,30,0,35.3
22.023,1258751,29,0,35.712
24.025,1297818,30,0,35.1
26.026,1314140,30,0,36.867
28.028,1335293,30,0,38.383
30.03,1362567,30,0,40
32.032,1272524,31,0,48.433
34.032,920843,30,0,63.85
36.034,1004953,26,0,27.143
38.035,1107421,30,0,27.483
40.037,1128525,30,0,26.85
42.041,1152493,29,0,26.932
44.044,1193391,30,0,27.115
46.045,1211973,30,0,26.3
48.047,1244127,30,0,25.55
50.048,1275629,30,0,26.6
52.05,1275284,30,0,35.7
54.051,1302938,30,0,33
56.053,1335169,29,0,33.475
58.054,1354189,30,0,34.083
60.055,1352781,31,0,34.377
62.057,1118494,30,0,52.317
64.059,1002520,30,0,59.017
66.06,1100486,30,0,57.65
68.064,1081361,30,0,47.5
70.066,1149625,30,0,25.383
72.067,1187914,29,0,25.797
74.068,1216399,30,0,25.1
76.069,1222686,30,0,25.383
78.073,1257067,30,0,25.65
80.073,1322505,30,0,24.967
82.075,1333647,30,0,23.6
84.076,1266223,30,0,28.417
86.078,995017,30,0,46.183
88.079,1066081,30,0,41.133
90.08,1123527,30,0,40.45
92.081,1148547,30,0,41.25
94.084,1182833,30,0,41.567
96.085,1193270,30,0,46.417
98.085,1232807,30,0,47.85
100.087,1262176,30,0,49.467
102.089,1245344,30,0,37.383
104.09,1334600,30,0,23.117
106.091,1358803,30,0,22.607
108.092,1253380,30,0,26.25
110.093,1070584,30,0,29.267
112.095,1034971,30,0,30.433
114.096,1068802,30,0,29.667
116.098,1131511,30,0,27.917
118.101,1164601,30,0,34.9
120.102,1165189,30,0,37.6
122.107,1213959,30,0,36.4
124.108,1233743,29,0,36.467
126.109,1254987,30,0,37.8
128.114,1300260,30,0,38.262
130.117,1307000,30,0,42.3
132.12,1332136,30,0,44.4
134.121,1355864,30,0,44.783
136.127,1335307,30,0,23.9
138.128,1137098,30,0,25.61
140.129,1078469,29,0,27.05
142.135,1063241,30,0,28.016
144.138,1091416,30,0,28.783
146.14,1122264,30,0,28.117
148.145,1160648,30,0,26.75
150.143,1229263,30,0,26.233
152.147,1232305,30,0,35.767
154.152,1237464,30,0,34.417
156.157,1287954,30,0,35.067
158.159,1314484,30,0,34.817
160.16,1347078,30,0,35.95
162.163,1353513,30,0,37.95
164.166,1360423,31,0,40.377
166.165,1357793,30,0,41.133
168.166,1010742,30,0,62.383
170.168,1034003,29,0,26.983
172.179,1058555,29,0,27.233
174.18,1136715,30,0,26.617
176.184,1158302,30,0,26.517
178.183,1193422,30,0,26.85
180.184,1196327,30,0,26.433
,1199924.85393258,29.9101123595506,0,34.0726404494382
