elapsed_s,throughput_bps,fps,total_freeze_s,qp_avg
2.003,-1,26,0,-1
4.004,2229884,28,0,27.358
6.006,2092339,32,0,35.655
8.007,2088723,31,0,35.322
10.01,2126888,30,0,34.683
12.011,2317402,31,0,32.721
14.016,2417184,29,0,31
16.014,2391127,29,0,30.339
18.014,2190095,29,0,50.707
20.018,2154843,31,0,62.033
22.023,1921048,29,0,57.143
24.024,2098433,31,0,69.355
26.025,2416210,30,0,60.295
28.028,2552802,30,0,51.373
30.035,2338362,28,0,56.089
32.039,2309565,31,0,66.05
34.042,2476584,28,0,65.069
36.044,2339889,29,0,40.298
38.044,2429613,29,0,29.542
40.045,2368228,31,0,31.754
42.047,2493638,30,0,29.7
44.048,2507776,29,0,28.932
46.051,2270925,26,0,30.158
48.055,2228767,35,0,35.797
50.056,2328459,28,0,32.207
52.057,2364638,28,0,41.474
54.058,2577853,29,0,51.767
56.059,2498215,29,0,52.898
58.074,2514325,28,0,57.034
60.074,2382890,30,0,53.918
62.078,2266103,31,0,52.5
64.082,2424752,32,0,64.016
66.084,2425711,29,0,68
68.088,2466917,30,0,63.567
70.089,2402369,29,0,32.542
72.091,2313353,28,0,28.404
74.093,2412197,30,0,32.823
76.094,2252105,21,0,29.333
78.096,2232490,31,0.2,31.596
80.101,2324383,31,0.2,33.413
82.101,2300302,28,0.2,31.328
84.102,2375254,30,0.2,31.333
86.105,2355338,28,0.2,42.732
88.109,2301071,32,0.2,53.167
90.108,2307826,29,0.2,52.311
92.111,2374162,30,0.2,53.672
94.114,2331781,29,0.2,57.288
96.114,2344637,29,0.2,54.915
98.115,2364194,30,0.2,63.102
100.117,2323766,31,0.2,71.917
102.119,2224445,29,0.2,98.627
104.12,2266005,30,0.2,57.217
106.121,2279843,29,0.2,33.847
108.124,2337296,29,0.2,31.984
110.128,2252484,29,0.2,30.467
112.131,2315619,31,0.2,34.452
114.133,2179488,31,0.2,33.016
116.134,2319538,30,0.2,32.933
118.139,2306987,29,0.2,32.763
120.141,2295310,29,0.2,53.017
122.143,2182842,29,0.2,64.271
124.148,2241650,31,0.2,54.443
126.153,2294582,30,0.2,61.197
128.154,2423194,30,0.2,57.717
130.157,2316579,33,0.2,62.54
132.158,2252540,31,0.2,72.044
134.159,2063291,27,0.2,72.982
136.16,2080721,31,0.2,69.869
138.163,2122326,30,0.2,35.317
140.168,2230691,31,0.2,34.508
142.17,2216362,30,0.2,33.517
144.171,2212635,29,0.2,32.644
146.172,2306632,30,0.2,36.95
148.175,2203291,30,0.2,31.617
150.176,2329330,30,0.2,35.183
152.179,2283840,30,0.2,38.919
154.181,2283128,30,0.2,55.55
156.183,2367041,30,0.2,53.733
158.185,2367928,30,0.2,53.033
160.186,2349254,30,0.2,58.05
162.187,2363600,30,0.2,59.4
164.188,2470431,30,0.2,59.167
166.19,2084927,30,0.2,64.2
168.191,1791419,27,0.2,86.018
170.192,1869759,34,0.2,106
172.197,1879425,30,0.2,55.567
174.201,1939633,30,0.2,38.867
176.203,1865119,30,0.2,38.933
178.204,2125706,30,0.2,39.2
180.205,2166722,29,0.2,34.644
,2278505.94382022,29.7078651685393,0.2,47.8992471910112
