elapsed_s,throughput_bps,fps,total_freeze_s,qp_avg
2.006,-1,29,0,-1
4.01,1900128,30,0,19.984
6.012,2360970,30,0,16.483
8.014,2717019,30,0,17.593
10.016,2690994,28,0,17.912
12.017,2331750,31,0,21.213
14.018,1996428,31,0,21.516
16.019,2038523,30,0,21.7
18.02,1844236,30,0,27.787
20.031,1813402,31,0,28.623
22.031,2558104,29,0,23.593
24.034,2479973,30,0,21.61
26.035,1823452,31,0,39.203
28.037,1358694,31,0,50.525
30.041,1269949,30,0,60.333
32.042,1237736,30,0,60.197
34.046,1381649,30,0,60.317
36.049,2172258,30,0,28.23
38.05,2446088,30,0,14.683
40.051,2519805,30,0,14.695
42.057,2160608,30,0,17.82
44.059,2038882,30,0,19.4
46.06,2209731,30,0,20.05
48.061,2694984,30,0,18.083
50.069,2562579,27,0,14.931
52.071,2414905,30,0,17.917
54.073,2471557,30,0,21.1
56.078,2400299,30,0,25.459
58.079,2263668,30,0,27.417
60.084,2615439,30,0,26.817
62.09,2764797,30,0,23.967
64.095,2571860,30,0,25.833
66.102,2466265,31,0,29.18
68.11,2263980,30,0,28.167
70.108,2523734,30,0,15.2
72.11,2040608,30,0,16.05
74.11,2356618,29,0,15.356
76.112,2088203,31,0,20.475
78.115,1727287,30,0,21.717
80.115,1700697,30,0,19.667
82.117,1656278,30,0,19.5
84.118,1688333,30,0,21.667
86.121,1622393,30,0,28.233
88.125,1809277,30,0,26.533
90.126,1879867,30,0,28.2
92.128,1732620,30,0,28.983
94.128,1669345,30,0,30.133
96.13,1943669,30,0,31.951
98.14,2010710,30,0,32.254
100.134,1875997,30,0,38.016
102.136,1819619,30,0,33.617
104.139,1935786,30,0,18.617
106.141,1988529,30,0,18.483
108.148,1946238,30,0,19.217
110.153,1663052,30,0,19.283
112.155,1979390,30,0,18.197
114.158,2000647,30,0,17.083
116.162,2014767,30,0,16.717
118.164,1961458,30,0,20.35
120.168,1927676,30,0,23.417
122.173,1850436,27,0,25.246
124.176,1959630,30,0,24.617
126.179,1928224,30,0,26.65
128.18,1944369,30,0,26.65
130.181,1934583,30,0,29.167
132.183,1912999,30,0,30.433
134.186,1861033,30,0,32.4
136.196,1908296,30,0,19.164
138.197,1993807,30,0,16.033
140.2,1998766,29,0,16.119
142.203,2012895,29,0,19.733
144.205,2006958,30,0,20.705
146.206,2050493,30,0,16.933
148.207,1993908,30,0,17.017
150.209,1964319,30,0,17.183
152.213,1946648,30,0,21.833
154.21,1952514,30,0,23.8
156.216,1948636,30,0,24.417
158.223,1952322,30,0,24.733
160.224,1931619,30,0,26.333
162.233,1934744,30,0,27.41
164.238,1903331,29,0,29.678
166.239,1906953,30,0,30.82
168.242,1880756,30,0,31.883
170.246,1745860,30,0,18.6
172.248,1625755,30,0,21.933
174.249,1642121,30,0,22.517
176.25,1626250,30,0,23.45
178.251,1765567,30,0,23.883
180.259,1916949,30,0,22.867
,2015778.1011236,29.9325842696629,0,24.6456292134831
