elapsed_s,throughput_bps,fps,total_freeze_s,qp_avg
2.004,-1,30,0,-1
4.005,1403451,30,0,21.966
6.006,1504692,30,0,20.25
8.008,1790821,29,0,17.576
10.015,1784439,32,0,21.729
12.017,1380822,31,0,23.77
14.017,1427234,29,0,22.879
16.019,1502279,30,0,21.915
18.02,1519119,30,0,29.22
20.021,1546270,30,0,28.1
22.023,1556341,30,0,29.475
24.027,1623912,30,0,28.95
26.029,1624422,29,0,30.237
28.03,1679523,30,0,31.183
30.031,1682797,30,0,32.967
32.033,1719594,30,0,34.033
34.04,1686495,30,0,34.35
36.037,1724029,30,0,16.7
38.039,1505545,30,0,20.35
40.04,1405351,30,0,21.767
42.041,1466441,30,0,21.817
44.043,1448174,28,0,22.276
46.046,1529928,30,0,21.767
48.048,1581211,30,0,20.525
50.05,1623592,29,0,21.169
52.053,1602474,30,0,28.2
54.052,1677641,31,0,26.23
56.056,1707677,30,0,27.033
58.058,1725935,30,0,27.95
60.058,1776492,30,0,28.617
62.061,1777530,30,0,30.417
64.062,1809450,30,0,31.2
66.063,1827654,30,0,32.15
68.064,1817986,31,0,27.633
70.064,1817153,30,0,16.45
72.067,1528733,30,0,20.083
74.068,1462009,30,0,21.483
76.07,1457893,30,0,22.217
78.071,1527081,30,0,22.283
80.072,1560783,30,0,21.517
82.073,1601171,30,0,20.05
84.076,1637905,30,0,22.717
86.077,1633584,30,0,28.213
88.078,1682125,31,0,26.2
90.083,1729783,29,0,27.169
92.085,1774508,30,0,27.672
94.088,1788659,30,0,28.417
96.089,1824256,30,0,30.167
98.093,1829592,30,0,31
100.097,1829026,30,0,32.4
102.099,1491234,30,0,33.533
104.1,1342930,30,0,23.583
106.107,1493046,30,0,21.883
108.105,1528700,30,0,23.7
110.106,1561580,30,0,22.383
112.111,1627401,30,0,22.05
114.113,1569545,29,0,23.603
116.12,1709386,30,0,20.133
118.12,1728934,30,0,24.683
120.122,1711164,30,0,26.067
122.124,1790039,30,0,25.833
124.127,1816122,30,0,26.017
126.131,1826669,30,0,27.267
128.131,1660719,30,0,31.525
130.138,1329295,30,0,41.7
132.14,1414121,30,0,41.35
134.141,1465148,30,0,41.433
136.145,1507069,29,0,22.633
138.146,1576584,31,0,19.623
140.148,1630013,30,0,19.033
142.15,1716872,30,0,18.633
144.152,1731334,30,0,19.45
146.153,1753166,30,0,18.983
148.154,1802464,30,0,18.15
150.157,1820473,30,0,18.067
152.158,1827256,30,0,24.05
154.162,1833918,30,0,22.767
156.164,1632973,30,0,29.361
158.167,1330455,30,0,34.267
160.172,1427553,30,0,34.678
162.174,1453144,30,0,36.017
164.175,1453598,29,0,37.932
166.177,1524361,29,0,38.883
168.18,1538381,30,0,36.984
170.181,1661811,30,0,17.45
172.182,1706817,30,0,18.067
174.184,1786298,30,0,17.8
176.187,1789414,30,0,18.133
178.189,1829460,30,0,18.35
180.19,1814232,30,0,18.25
,1633002.93258427,29.9550561797753,0,25.6937415730337
