elapsed_s,throughput_bps,fps,total_freeze_s,qp_avg
2.004,-1,27,0,-1
4.006,2284127,29,0,29.421
6.007,2429167,28,0,30.328
8.009,2536084,30,0,29.172
10.01,2707750,29,0,28.414
12.012,2935921,29,0,28.431
14.013,3130643,30,0,26.049
16.014,3289892,29,0,24.207
18.016,3114318,29,0,33.5
20.017,2914572,30,0,45.683
22.02,2907815,31,0,44
24.022,3039793,28,0,44.034
26.025,2975473,31,0,42.613
28.026,3225613,30,0,42.197
30.027,3220184,31,0,45.984
32.034,3164952,30,0,49.836
34.038,2868113,29,0,54.14
36.038,3006934,31,0,28.903
38.045,3119066,31,0,25.54
40.047,3138512,29,0,23.797
42.05,2738181,30,0,27.207
44.056,2679468,30,0,29.717
46.058,2741578,31,0,29.051
48.06,2942475,30,0,29.475
50.061,2901490,28,0,27.121
52.062,2720147,30,0,43.39
54.064,2953797,29,0,44.246
56.066,3104836,29,0,37.153
58.067,3071166,29,0,34.949
60.068,2632033,32,0,50.305
62.069,2887304,31,0,58.938
64.073,3147091,29,0,50.95
66.074,3277797,30,0,47.983
68.075,3007321,30,0,45.767
70.076,3068530,30,0,22.966
72.077,2849499,30,0,27.951
74.081,3117993,30,0,27.3
76.084,3057616,30,0,26.672
78.085,3007367,30,0,28.317
80.097,3211359,29,0,24.672
82.101,3026142,30,0,26.852
84.102,3064385,29,0,29.508
86.104,2991731,30,0,41.3
88.108,3138987,30,0,36.983
90.109,3170129,32,0,37.46
92.111,3140586,30,0,38.59
94.112,3253566,29,0,39.789
96.114,3125568,30,0,46.508
98.119,3030303,29,0,49.593
100.12,2693347,29,0,59.115
102.122,2242925,29,0,71.333
104.127,2145484,29,0,32.724
106.128,2198865,29,0,30.22
108.132,2520635,30,0,30.317
110.134,2808467,31,0,28.597
112.135,2626570,30,0,34.542
114.138,2291550,30,0,34.5
116.143,2236500,31,0,32.483
118.145,2347140,30,0,42.15
120.147,2373884,31,0,51.508
122.162,2660209,30,0,42.167
124.164,2926481,31,0,39.902
126.164,2885511,32,0,47.317
128.166,2984485,30,0,48.783
130.17,2931904,30,0,49.167
132.171,2967462,30,0,55.767
134.173,3000363,30,0,56.8
136.173,3143759,31,0,30.367
138.176,3028515,30,0,23.949
140.178,3136604,31,0,22.164
142.179,2878847,30,0,28.984
144.181,2952311,31,0,27.967
146.183,3004545,31,0,27.167
148.183,2968142,32,0,27.1
150.185,2924294,30,0,27.466
152.186,2976124,31,0,38.689
154.187,2618190,31,0,43.627
156.188,2691008,30,0,50.6
158.189,2681050,31,0,42.097
160.191,2623451,30,0,54.705
162.193,2796432,30,0,52.322
164.198,2731641,30,0,57.246
166.199,2763332,29,0,56.814
168.201,2929718,31,0,56.81
170.203,2889108,29,0,26.812
172.205,2968612,26,0,24.643
174.207,2893447,33,0,26.098
176.21,2569900,30,0,29.117
178.211,2515645,30,0,30.542
180.213,2780402,31,0,29.705
,2869373.40449438,30,0,37.7454494382022
