elapsed_s,throughput_bps,fps,total_freeze_s,qp_avg
2.005,-1,5,0,-1
4.008,1557432,30,0,36.984
6.01,1668739,30,0,18.617
8.011,1665675,30,0,18.8
10.012,1668719,30,0,19.85
12.014,1670042,30,0,19.967
14.014,1666435,30,0,19.733
16.018,1669354,30,0,19.85
18.021,1626401,30,0,26.55
20.022,1626198,30,0,26.917
22.024,1627591,30,0,27.9
24.03,1596595,29,0,28.8
26.032,1599399,30,0,30.639
28.034,1613344,30,0,32.2
30.036,1552413,29,0,34.983
32.038,1594773,30,0,37.083
34.042,1548571,30,0,37.717
36.042,1657089,30,0,17.65
38.044,1656097,30,0,18.567
40.046,1650135,30,0,18.6
42.05,1678575,30,0,19.15
44.057,1648918,30,0,20.233
46.059,1640458,30,0,20.05
48.06,1669854,30,0,19.8
50.062,1659244,30,0,20.817
52.064,1606142,30,0,28.317
54.065,1626901,30,0,26.867
56.068,1625383,30,0,28.279
58.075,1616440,30,0,29.367
60.072,1579099,30,0,30.667
62.074,1348862,30,0,38.767
64.075,1389232,30,0,40.983
66.076,1408510,30,0,42.517
68.077,1356378,30,0,37.233
70.079,1439292,29,0,19.949
72.08,1452992,30,0,21.083
74.081,1467217,30,0,21.383
76.086,1450847,30,0,22.183
78.088,1469352,30,0,22.667
80.087,1459460,30,0,22.667
82.09,1454884,30,0,22.133
84.091,1465868,30,0,25.517
86.099,1394999,29,0,31.983
88.1,1413071,30,0,30.525
90.103,1426674,30,0,31.85
92.104,1414727,30,0,33.333
94.109,1415181,30,0,35
96.109,1398127,30,0,38.45
98.111,1391523,30,0,40.733
100.113,1409173,30,0,43.317
102.114,1428731,30,0,31.633
104.115,1402794,30,0,22.5
106.118,1433429,30,0,22.117
108.12,1459644,30,0,23.017
110.121,1471385,30,0,23.45
112.124,1448268,30,0,23.733
114.125,1446891,30,0,23.817
116.127,1449743,30,0,23.067
118.128,1433256,31,0,28.984
120.131,1409202,30,0,31.339
122.133,1415388,29,0,31.333
124.136,1427813,30,0,31.705
126.137,1412361,30,0,33.7
128.141,1416484,30,0,35.317
130.143,1410996,30,0,39.033
132.145,1404578,30,0,41.433
134.146,1390741,30,0,43.1
136.147,1443736,30,0,23.85
138.149,1427361,30,0,21.017
140.151,1457564,30,0,21.3
142.159,1451008,29,0,21.847
144.153,1386067,30,0,22.931
146.156,1448390,30,0,22.95
148.157,1465380,30,0,22.367
150.158,1463581,30,0,22.417
152.166,1411355,30,0,30.803
154.168,1403171,30,0,30.733
156.169,1408261,30,0,32.2
158.171,1425745,30,0,32.267
160.172,1410726,30,0,34.45
162.174,1418310,30,0,36.35
164.177,1415441,30,0,39.167
166.179,1425731,30,0,41.6
168.182,1371519,30,0,41.95
170.185,1447717,30,0,19.683
172.186,1445371,30,0,21.2
174.187,1471144,30,0,21.317
176.189,1443317,29,0,21.917
178.192,1465819,29,0,22.75
180.193,1451044,30,0,22.721
,1493391.53932584,29.9213483146067,0,28.0257528089887
