elapsed_s,throughput_bps,fps,total_freeze_s,qp_avg
2.003,-1,30,0,-1
4.004,1493075,30,0,21.383
6.005,1804610,28,0,16.81
8.008,1753750,30,0,18.966
10.011,1533096,30,0,21.541
12.014,1438308,30,0,22.8
14.014,1427653,30,0,22.712
16.016,1458837,30,0,23.051
18.017,1408663,29,0,30.949
20.02,1455667,30,0,29.983
22.021,1449791,30,0,31.2
24.023,1470730,30,0,31.254
26.026,1459062,31,0,33.197
28.028,1469865,30,0,35.533
30.03,1484156,29,0,37.22
32.031,1510996,29,0,38.932
34.033,1471781,30,0,38.082
36.035,1574956,30,0,18.424
38.037,1593043,30,0,19.233
40.04,1611475,30,0,19.483
42.042,1638290,30,0,19.65
44.047,1663091,30,0,20.017
46.047,1682172,30,0,19.817
48.048,1679346,30,0,19.417
50.05,1705935,30,0,20.95
52.054,1644730,30,0,27.767
54.059,1689119,30,0,25.934
56.064,1685886,30,0,27.667
58.066,1696733,30,0,28.65
60.067,1698787,30,0,29.667
62.069,1725099,30,0,31.683
64.071,1718512,30,0,32.867
66.073,1736409,30,0,34.583
68.074,1681679,30,0,27.717
70.076,1822438,30,0,16.65
72.079,1834093,30,0,16.917
74.081,1821583,29,0,17.051
76.081,1548787,30,0,21.017
78.085,1422626,30,0,23.05
80.084,1419930,30,0,23.5
82.086,1435359,30,0,22.367
84.087,1470854,30,0,26.483
86.091,1413772,30,0,31.633
88.095,1460688,30,0,30.267
90.098,1462916,30,0,30.951
92.101,1481577,29,0,32.633
94.102,1483888,30,0,33.639
96.103,1486093,30,0,36.817
98.104,1504899,30,0,38.4
100.108,1492279,30,0,40.667
102.112,1523767,30,0,27.433
104.113,1539841,31,0,20.426
106.116,1608679,30,0,20.5
108.118,1594242,30,0,22.417
110.119,1566100,28,0,23.638
112.121,1712703,30,0,21.237
114.124,1668378,30,0,22.18
116.127,1692703,30,0,19.917
118.125,1684906,29,0,25.271
120.129,1638079,30,0,26.852
122.132,1697979,29,0,27.102
124.133,1700867,30,0,27.557
126.134,1707021,30,0,29.05
128.135,1721860,30,0,30.083
130.136,1709037,30,0,32.3
132.142,1724790,30,0,33.933
134.144,1711075,30,0,35.083
136.146,1781748,30,0,17.017
138.148,1824266,30,0,16.833
140.149,1704979,30,0,18.217
142.155,1470885,30,0,21.183
144.157,1420150,30,0,23.417
146.158,1427597,30,0,23.262
148.16,1459255,31,0,22.317
150.163,1482846,29,0,23.034
152.164,1431996,30,0,31.148
154.167,1469391,30,0,29.55
156.167,1473083,30,0,30.717
158.168,1495774,30,0,31.133
160.17,1509588,30,0,32.467
162.171,1498068,30,0,35.033
164.173,1512387,30,0,36.95
166.174,1536496,30,0,38.6
168.175,1502608,30,0,35.7
170.177,1611186,30,0,18.367
172.18,1621259,30,0,19.233
174.18,1648175,30,0,19.167
176.182,1670694,30,0,19.633
178.188,1668506,30,0,20.067
180.189,1681410,29,0,19.933
,1586308.51685393,29.8876404494382,0,26.3723370786517
