elapsed_s,throughput_bps,fps,total_freeze_s,qp_avg
2.002,-1,32,0,-1
4.005,2570884,27,0,24.018
6.008,2473538,29,0,27.696
8.009,2601594,29,0,29.466
10.013,2454164,30,0,30.733
12.013,2274329,31,0,33.567
14.015,2237534,31,0,33.098
16.018,2427870,30,0,31.613
18.045,2649767,29,0,42.984
20.047,2583977,31,0,44.393
22.047,2339550,30,0,48.95
24.053,2363759,31,0,49.77
26.055,2529738,30,0,47.844
28.057,2717252,30,0,48.623
30.059,2549470,26,0,53.643
32.062,2496718,29,0,61.383
34.063,2482887,30,0,56.61
36.064,2384745,26,0,26.965
38.066,1800878,29,0,35.068
40.068,1460481,29,0,36.983
42.069,1376177,30,0,39.41
44.074,1414035,30,0,40.738
46.076,1443121,30,0,39.2
48.078,1104960,31,0,38.131
50.078,1266681,30,0,31.4
52.08,1462813,30,0,31.15
54.085,1416337,30,0,30.317
56.086,1440455,29,0,31.417
58.087,1444284,30,0,32.902
60.096,1453419,30,0,33.733
62.097,1455448,30,0,37.217
64.101,1480273,30,0,38.333
66.104,1489645,30,0,40.233
68.108,1397594,30,0,31.417
70.109,1565541,30,0,18.797
72.112,1611995,30,0,18.483
74.113,1634441,30,0,19.317
76.117,1640489,30,0,19.483
78.121,1647881,29,0,20.017
80.122,1672396,30,0,19.767
82.129,1687962,30,0,18.933
84.13,1776340,30,0,22.1
86.132,1678220,30,0,27.017
88.134,2636000,30,0,33.683
90.135,2510280,30,0,47.607
92.137,2366616,30,0,52.207
94.141,2327685,30,0,52.435
96.143,2354985,30,0,58.967
98.144,2312909,30,0,63.983
100.145,2311548,30,0,66.424
102.146,2248540,30,0,44.542
104.149,2142473,27,0,31.316
106.15,2169837,31,0,32.131
108.152,2174550,30,0,32.6
110.156,2048619,24,0,33.471
112.161,2173306,29,0.228,33.966
114.162,2176227,30,0.228,33.6
116.163,2182007,30,0.228,32.317
118.165,2216753,30,0.228,42.717
120.166,2212603,29,0.228,54.593
122.171,2175331,30,0.228,50.483
124.172,2092243,30,0.228,53.417
126.175,2184264,30,0.228,56.917
128.182,2203203,29,0.228,57.119
130.183,2090166,30,0.228,63.083
132.184,2225124,30,0.228,67.483
134.187,2162938,29,0.228,69.78
136.188,2070618,30,0.228,45.067
138.193,2035161,29,0.228,31.983
140.195,2140336,29,0.228,31.895
142.2,2103719,31,0.228,33.534
144.201,2025281,26,0.228,33.661
146.205,2081917,30,0.228,34.123
148.208,2153283,30,0.228,34.397
150.214,2171667,30,0.228,32.4
152.217,2160495,32,0.228,41.475
154.219,2084053,30,0.228,55.397
156.221,2108056,30,0.228,51.259
158.224,2160850,29,0.228,56.741
160.227,2201360,29,0.228,56.017
162.229,2170182,29,0.228,57.593
164.23,2311629,30,0.228,62.85
166.232,2337987,30,0.228,64.129
168.237,2342757,26,0.442,67.655
170.237,2477412,30,0.442,47.377
172.241,2431151,30,0.442,28.915
174.244,2392462,30,0.442,29.717
176.244,2415439,30,0.442,30.133
178.247,2464723,31,0.442,30.383
180.25,2474825,30,0.442,30.65
,2078350.69662921,29.6067415730337,0.442,40.3945056179775
