elapsed_s,throughput_bps,fps,total_freeze_s,qp_avg
2.005,-1,30,0,-1
4.007,1248853,26,0.235,27.925
6.011,938810,32,0.235,37.493
8.013,914389,30,0.235,32.597
10.015,1052548,31,0.235,30.721
12.017,1446643,29,0.271,28.22
14.019,1289444,16,0.806,22.864
16.019,1247643,44,0.806,47.257
18.02,1106455,30,0.806,83.062
20.028,717196,31,0.806,98.355
22.028,1006306,30,0.807,50.233
24.03,1359164,30,0.808,41.417
26.031,1366657,29,0.843,34.881
28.034,1256170,27,1.179,50.42
30.036,1159850,18,1.381,105.481
32.038,786176,23,1.882,106
34.041,914713,30,1.882,106
36.04,1308663,30,1.882,69.672
38.042,1687459,29,1.917,26.949
40.043,1633934,30,1.918,23.933
42.045,1401230,30,1.92,23.183
44.047,1734427,30,1.922,21.35
46.047,1686730,29,2.022,26.246
48.048,1580698,30,2.022,27.016
50.049,1486315,30,2.023,26.317
52.051,1420206,30,2.025,36.75
54.052,1216626,30,2.025,36.836
56.052,1423797,30,2.059,32.203
58.054,1489885,30,2.094,31.627
60.055,1678931,30,2.095,32.15
62.056,1392619,30,2.096,39.2
64.06,1316674,29,2.133,43.542
66.061,1349895,29,2.135,44.533
68.063,1408699,30,2.135,42.016
70.065,1466808,31,2.135,22.098
72.067,1431120,30,2.136,23.317
74.071,1438735,31,2.136,22.754
76.073,1556431,30,2.139,22.183
78.075,1451592,30,2.14,26.633
80.076,1336894,30,2.142,27.783
82.081,1541469,29,2.147,28.15
84.08,1602682,30,2.147,27.467
86.084,1404815,30,2.151,39.25
88.085,1241154,30,2.151,41.705
90.086,1272360,30,2.152,44.583
92.087,1470983,30,2.153,39.65
94.089,1562646,30,2.155,35.5
96.09,1322361,30,2.156,55.767
98.092,1337364,30,2.158,63.167
100.093,1574056,30,2.159,56.567
102.096,1816268,30,2.162,36.333
104.098,1667134,30,2.164,21.883
106.102,1550590,30,2.168,22.883
108.104,1436129,30,2.17,26.7
110.105,1343548,30,2.171,28.8
112.108,1327290,30,2.174,28.833
114.109,1468313,30,2.175,28.917
116.111,1576198,30,2.177,25.483
118.113,1350001,30,2.179,30.267
120.115,1398612,30,2.181,32.417
122.116,1553740,30,2.182,30.783
124.117,1452750,30,2.183,34.783
126.119,1506144,30,2.183,37.23
128.12,1453417,30,2.183,40.183
130.122,1495799,30,2.185,45.35
132.128,1658963,30,2.191,43.333
134.13,1574340,37,2.327,69.482
136.133,728457,31,2.53,103.833
138.136,968205,30,2.532,44.183
140.137,1335780,30,2.533,32.4
142.138,1544969,30,2.535,27.283
144.14,1509269,30,2.537,27.083
146.142,1475348,30,2.539,28.633
148.145,1437471,30,2.542,27.3
150.146,1493110,31,2.542,27.246
152.149,1752681,30,2.578,32.39
154.15,1662169,30,2.579,34.883
156.151,1302214,30,2.58,42.95
158.152,1135440,30,2.58,48.197
160.153,1409455,30,2.581,51.833
162.154,1671149,30,2.582,42.067
164.155,1532654,30,2.583,43.35
166.157,1524157,30,2.586,45.733
168.158,1258246,30,2.586,47.1
170.159,1505427,30,2.587,21.45
172.16,1582952,30,2.589,23.333
174.163,1454903,30,2.592,24.567
176.165,1549967,30,2.593,23.8
178.167,1512886,30,2.596,25.583
180.17,1451304,30,2.599,26.117
,1398502.51685393,29.7977528089888,2.00261797752809,39.3033370786517
