elapsed_s,throughput_bps,fps,total_freeze_s,qp_avg
2.002,-1,22,0,-1
4.003,1801800,30,0.402,32.333
6.007,1800035,29,0.472,36.983
8.008,1632248,29,0.473,41.083
10.01,1617652,28,0.508,40.441
12.01,1666930,29,0.542,40.593
14.012,1542964,28,0.643,40.596
16.012,1678886,29,0.711,43.207
18.013,1729692,29,0.745,54.169
20.016,1651989,29,0.814,69.017
22.021,1630699,29,0.886,80.052
24.024,1648420,30,0.922,78.746
26.028,1555150,29,0.96,74.661
28.029,1635376,30,0.96,85.55
30.03,1320675,24,1.295,83.24
32.034,1351549,18,1.799,104.889
34.033,1568878,17,2.532,106
36.034,1589634,31,2.666,106
38.035,1692529,31,2.666,66.393
40.036,1693053,30,2.666,34.902
42.037,1629675,30,2.767,39.053
44.038,1704005,30,2.801,41.22
46.04,1625675,29,2.903,39.789
48.041,1334797,27,3.071,42.964
50.044,1466986,30,3.071,46.306
52.044,1532988,29,3.072,61.5
54.046,1580392,29,3.106,93.288
56.047,1622715,29,3.141,81.864
58.052,1576372,29,3.212,73.759
60.054,1594550,29,3.248,91.254
62.055,1544062,30,3.249,106
64.056,1602343,29,3.316,106
66.058,1615763,21,3.785,106
68.059,1548784,26,4.053,106
70.06,1459285,31,4.288,106
72.062,1485121,30,4.288,69.951
74.063,1255311,30,4.289,41.333
76.064,1224339,31,4.29,50.283
78.065,1237094,31,4.29,54.246
80.066,1284830,30,4.325,56.932
82.068,1377625,30,4.326,52.483
84.071,1440237,29,4.363,47
86.072,1479563,30,4.364,67.767
88.074,1465591,28,4.432,100.914
90.075,1509237,24,4.633,106
92.076,1402191,20,5.268,106
94.077,1240352,23,5.802,106
96.079,1226559,19,6.603,106
98.081,1214100,17,7.505,106
100.082,1326927,15,8.441,106
102.085,1465195,31,8.777,106
104.087,1527158,31,8.777,89.831
106.088,1614359,31,8.777,43.651
108.091,1698243,30,8.813,37.339
110.091,1573141,25,8.98,38.764
112.093,1527026,30,8.983,42.317
114.097,1552925,29,9.02,45.034
116.099,1702453,30,9.055,41.068
118.1,1681402,29,9.09,42.271
120.101,1651279,27,9.224,64.482
122.102,1385290,27,9.391,80.873
124.103,1281465,21,9.759,105.143
126.106,1220868,18,10.595,106
128.107,1367385,23,11.196,106
130.108,1524102,25,11.564,106
132.11,1546347,25,11.965,106
134.111,1485878,23,12.466,106
136.112,1566501,25,13.001,106
138.112,1610751,30,13.001,80.279
140.114,1713273,30,13.002,41.95
142.116,1614269,30,13.005,35.217
144.119,1509766,30,13.041,42.492
146.123,1540784,30,13.079,46.136
148.124,1493915,30,13.113,42.915
150.125,1558329,29,13.214,41.404
152.127,1624788,29,13.249,47.932
154.128,1540562,29,13.317,85.707
156.13,1428376,31,13.352,96.695
158.131,1419700,22,13.653,105.98
160.132,1479764,21,14.321,106
162.136,1633982,27,14.558,106
164.137,1754172,30,14.559,106
166.139,1668733,30,14.594,106
168.14,1530177,30,14.595,106
170.142,1427888,29,14.664,106
172.145,1508407,31,14.664,81.902
174.146,1577548,30,14.665,44.267
176.149,1771486,30,14.701,39.475
178.152,1751304,29,14.737,36.525
180.154,1518622,29,14.773,40.288
,1533294.84269663,27.6404494382022,7.12644943820225,72.5246966292135
