elapsed_s,throughput_bps,fps,total_freeze_s,qp_avg
2.002,-1,27,0,-1
4.003,887004,26,0.268,27.25
6.006,892831,26,0.537,28.327
8.006,883158,27,0.704,30.182
10.011,891891,27,0.942,30.057
12.013,893205,26,1.177,30.623
14.014,885351,27,1.378,30.741
16.016,888160,26,1.614,29.453
18.017,891360,27,1.782,31.527
20.019,883218,27,1.983,45.963
22.02,892785,26,2.218,44.83
24.02,894918,26,2.418,45.111
26.021,884148,27,2.619,45.889
28.023,896279,27,2.821,48.889
30.026,886558,27,3.024,50.185
32.026,889274,27,3.258,56.83
34.027,891716,27,3.459,59.407
36.028,890918,26,3.693,62.321
38.029,884708,27,3.894,57.5
40.03,892336,27,4.095,26.722
42.032,895011,27,4.296,28.519
44.033,888685,27,4.498,28.315
46.035,894459,27,4.733,29.038
48.037,889250,27,4.935,29.963
50.038,886466,27,5.136,30.241
52.042,888978,27,5.34,30.611
54.043,891429,27,5.541,29.722
56.045,885819,27,5.743,35.222
58.046,901442,27,5.944,48.981
60.049,885812,27,6.147,43.111
62.05,893262,27,6.347,46.056
64.051,888977,27,6.549,47.87
66.052,884327,27,6.75,51.574
68.052,890292,27,6.95,52.926
70.053,886946,27,7.151,58.241
72.055,893001,27,7.353,61.167
74.056,894485,27,7.554,62.963
76.057,882670,27,7.755,43.074
78.058,892991,27,7.956,28.296
80.06,883402,27,8.158,29.093
82.062,899758,27,8.36,29.667
84.065,889214,26,8.563,29.426
86.068,894103,27,8.766,30.426
88.07,888530,27,8.968,30.074
90.071,886042,27,9.169,29.963
92.074,890614,27,9.372,29.759
94.077,894040,27,9.575,40.722
96.079,880820,27,9.777,47.222
98.08,897023,27,9.978,44.648
100.081,888125,27,10.178,45.37
102.085,898283,26,10.416,49.151
104.085,886468,26,10.617,50.907
106.089,885705,27,10.82,55.444
108.09,891908,27,11.021,60.167
110.092,882794,26,11.256,61.321
112.095,894817,27,11.46,64.796
114.096,884312,27,11.661,33.111
116.101,894302,27,11.866,29.093
118.103,889677,27,12.168,29.255
120.105,891402,27,12.369,30.463
122.106,884154,27,12.571,30.667
124.108,891929,27,12.773,31.204
126.11,892056,27,12.974,31.333
128.11,889966,27,13.175,30.519
130.116,887781,27,13.381,32.5
132.116,889168,27,13.581,47.13
134.117,889435,28,13.748,45.855
136.118,892880,27,13.95,45.852
138.118,887019,27,14.15,46.741
140.123,892541,27,14.354,49.926
142.125,889839,27,14.556,50.63
144.125,888806,27,14.757,57.722
146.127,894012,27,14.958,59.833
148.128,888794,27,15.159,63
150.129,889683,27,15.36,55.019
152.131,890393,27,15.562,26.926
154.132,891412,27,15.763,28.315
156.136,889505,27,15.968,28.463
158.137,890487,27,16.168,29.056
160.139,888557,27,16.371,30.167
162.14,886687,26,16.605,30.358
164.141,889601,27,16.806,30.315
166.143,891045,27,17.007,29.759
168.143,883855,27,17.208,36.5
170.145,891421,27,17.409,50.093
172.147,889066,27,17.612,44.259
174.15,887156,27,17.815,46.278
176.152,890892,27,18.017,49.13
178.153,892187,27,18.217,50.963
180.156,893924,27,18.421,53.204
,889884.382022472,26.876404494382,9.40984269662921,41.1178876404494
