elapsed_s,throughput_bps,fps,total_freeze_s,qp_avg
2.003,-1,28,0,-1
4.004,2162044,27,0.202,14.852
6.008,2041242,30,0.339,26.125
8.011,1839913,33,0.339,29.343
10.013,1144845,31,0.339,34.048
12.015,1660891,30,0.342,25.25
14.018,1727567,30,0.342,23.033
16.023,1571398,30,0.346,23.067
18.023,1920435,30,0.347,26.833
20.025,2105943,28,0.448,21.719
22.027,2026766,34,0.617,46.618
24.028,1905687,30,0.617,64.433
26.03,1354295,31,0.618,56.383
28.031,1703541,30,0.619,37.267
30.033,2038606,30,0.621,38.233
32.035,2444652,29,0.723,33.579
34.035,2073786,23,0.957,35.509
36.038,1958779,32,0.957,37.761
38.041,1137380,31,0.961,32.767
40.043,1619569,31,0.961,25.934
42.047,2018296,30,0.965,18.133
44.052,2172229,29,1.003,16.593
46.055,1894931,30,1.003,20.885
48.057,1896423,30,1.005,20.917
50.058,2426948,30,1.006,20.767
52.06,2052532,18,1.541,21.909
54.063,2044099,42,1.541,56.197
56.066,2037005,32,1.541,68.101
58.068,1925880,30,1.541,57.033
60.071,1531804,30,1.544,57.75
62.073,1521133,30,1.546,43.517
64.076,1756064,30,1.546,37.393
66.077,2133069,30,1.547,30.217
68.078,1967324,17,2.515,36.29
70.078,1858906,46,2.515,45.47
72.08,1798823,30,2.515,33.246
74.084,1236141,30,2.519,31.383
76.087,1704124,31,2.519,20.738
78.089,1770754,30,2.521,18.367
80.092,1715591,30,2.524,19.117
82.094,1722887,30,2.525,18.567
84.095,1825941,30,2.525,20.049
86.096,2070094,30,2.56,24.424
88.1,2126998,28,2.664,21.175
90.098,1965491,31,2.863,34.963
92.105,1872518,33,2.863,53.138
94.109,1855872,30,2.863,57.475
96.111,1576201,30,2.864,62
98.112,1469018,29,2.898,49.322
100.112,1735833,29,2.932,34.932
102.113,1711843,29,2.967,29.712
104.121,2014909,29,2.974,15.683
106.122,2132292,28,3.042,14.672
108.123,2052886,30,3.043,15.717
110.124,1777162,30,3.044,18.117
112.126,1675687,30,3.045,19.183
114.127,1734187,30,3.046,19.95
116.128,1962422,30,3.047,17.483
118.129,2044314,31,3.047,17.952
120.13,2031532,30,3.049,21.267
122.131,1718097,30,3.049,25.656
124.132,1641387,30,3.049,28.246
126.136,1861978,31,3.049,28.984
128.142,2183262,31,3.049,25.377
130.143,2027452,22,3.583,34.705
132.145,2038287,38,3.583,84.253
134.148,1966166,30,3.583,83.75
136.148,1881742,30,3.584,44.367
138.15,1306875,30,3.585,32.017
140.151,1647787,29,3.619,23.729
142.154,1632909,29,3.656,22.847
144.16,2039617,30,3.695,20.814
146.157,2004998,30,3.726,22.119
148.16,1972915,30,3.762,22.339
150.165,1998559,29,3.8,22.356
152.167,1988020,30,3.802,24.017
154.168,1958806,30,3.803,22.6
156.169,1929398,30,3.805,24.183
158.17,1927680,31,3.805,24.59
160.171,1900706,30,3.805,26.361
162.174,1914301,31,3.805,27.403
164.176,1876927,30,3.806,30.05
166.178,1875172,30,3.806,31.246
168.18,1752038,31,3.806,32.934
170.182,1906941,31,3.806,16.18
172.183,1968798,30,3.807,16.1
174.184,2000525,31,3.807,16.049
176.189,1924924,30,3.812,16.917
178.19,1945466,30,3.813,17.5
180.191,1958400,30,3.814,17.267
,1865254.3258427,30.0674157303371,2.39311235955056,30.7585842696629
