elapsed_s,throughput_bps,fps,total_freeze_s,qp_avg
2.003,-1,27,0,-1
4.004,1363276,25,0.334,18.18
6.005,1360994,25,0.636,19.118
8.006,1362482,27,0.87,20.774
10.007,1358285,26,1.138,21.038
12.009,1367287,26,1.373,21.189
14.015,1352919,26,1.612,21.226
16.016,1369387,27,1.846,21.321
18.017,1361600,26,2.114,21.692
20.018,1357975,26,2.349,28.679
22.02,1360230,27,2.55,29.37
24.021,1359452,27,2.751,30.148
26.022,1362234,27,2.952,30.259
28.023,1358280,27,3.02,32.069
30.025,1361714,27,3.222,32.87
32.026,1361360,27,3.423,36.481
34.032,1353924,27,3.629,38.019
36.031,1369937,28,3.795,39.909
38.032,1355584,28,3.962,39.055
40.033,1360825,27,3.963,19.083
42.036,1356060,27,4.167,20.315
44.037,1369905,27,4.367,19.889
46.038,1360239,27,4.568,20.981
48.04,1365594,26,4.804,22.189
50.04,1357510,27,5.004,22
52.041,1361900,27,5.205,21.667
54.042,1362371,27,5.406,20.963
56.044,1358218,26,5.641,25.038
58.044,1360231,27,5.841,30.704
60.045,1360485,27,6.042,28.981
62.047,1366872,27,6.244,30.093
64.048,1353762,27,6.445,31.167
66.049,1363569,27,6.646,32.833
68.051,1356870,27,6.848,34.593
70.052,1357745,27,7.016,36.891
72.053,1351835,27,7.05,39.695
74.054,1370122,28,7.217,41.945
76.056,1355878,27,7.386,24.455
78.058,1358385,27,7.555,20.055
80.063,1362632,27,7.76,19.685
82.065,1358409,27,7.929,20.527
84.067,1365834,26,8.164,21.34
86.068,1363189,27,8.332,21.691
88.07,1360466,27,8.534,21.741
90.072,1363712,27,8.769,20.962
92.075,1355719,26,8.972,21.87
94.076,1361616,27,9.173,29.815
96.077,1361070,27,9.374,29.148
98.08,1364516,27,9.577,30.333
100.082,1358451,27,9.779,30.481
102.084,1358219,27,9.981,32.333
104.084,1369797,27,10.181,33.148
106.086,1353234,27,10.383,37.019
108.087,1367384,28,10.551,38.382
110.089,1352148,28,10.551,41.18
112.09,1359984,28,10.719,38.673
114.092,1357604,27,10.887,20.509
116.093,1357839,27,11.054,21.145
118.097,1358572,27,11.259,21.241
120.099,1365995,27,11.46,21.981
122.1,1355226,27,11.662,24.093
124.102,1361774,27,11.864,23.407
126.103,1364891,27,12.065,22.87
128.104,1364088,27,12.265,22.185
130.105,1361134,26,12.467,26.963
132.106,1356890,27,12.668,30.444
134.108,1357950,27,12.87,29.426
136.11,1362668,27,13.071,30.574
138.112,1360096,27,13.241,31.855
140.114,1360568,27,13.276,33.186
142.115,1361135,27,13.477,35.389
144.116,1358741,27,13.645,37.473
146.117,1359792,28,13.812,39.436
148.118,1353781,28,13.98,42.382
150.127,1364556,28,14.155,20.109
152.129,1364054,27,14.357,20.278
154.134,1358092,30,14.429,20.224
156.136,1364986,27,14.631,20.611
158.141,1355523,27,14.836,21.852
160.143,1359298,27,15.038,21.944
162.144,1360674,27,15.239,21.593
164.145,1366990,27,15.473,21.283
166.146,1356948,27,15.675,23.481
168.15,1357946,27,15.878,30.593
170.152,1360340,27,16.08,28.889
172.152,1364044,28,16.247,30.745
174.154,1362546,27,16.449,31.074
176.155,1354942,27,16.65,33.167
178.156,1358479,28,16.817,33.655
180.157,1364782,27,17.018,36.63
,1360613.70786517,27,8.89567415730337,27.6848202247191
