elapsed_s,throughput_bps,fps,total_freeze_s,qp_avg
2.006,-1,28,0,-1
4.01,2707543,19,0.871,15.5
6.012,2748113,25,1.54,22.8
8.014,2535389,33,1.54,27.161
10.015,2345681,30,1.54,35.349
12.017,2357917,30,1.54,35.23
14.017,2430996,31,1.54,30.815
16.019,2563585,30,1.54,28.852
18.023,2306217,29,1.577,33.831
20.025,2292853,29,1.613,53.017
22.028,2417630,30,1.616,48.233
24.03,2503912,30,1.617,47.467
26.031,2602833,29,1.685,46.103
28.032,2512185,29,1.753,47.431
30.034,2259831,24,2.021,54.519
32.035,2227472,25,2.122,66.175
34.037,2446890,29,2.122,69.508
36.039,2392566,30,2.158,52.61
38.04,2501028,29,2.225,27.586
40.043,2421301,29,2.229,28.483
42.046,2390383,30,2.232,29.633
44.047,2524410,29,2.265,30.847
46.047,2438706,29,2.299,31.322
48.049,2318875,29,2.334,30.797
50.05,2264866,30,2.369,31.661
52.053,2206350,29,2.406,39.864
54.054,2181912,30,2.406,57.902
56.056,2266700,31,2.407,51.883
58.056,2460395,30,2.408,52.017
60.063,2411218,31,2.414,47.933
62.068,2450057,29,2.453,53.356
64.068,2428389,30,2.453,55.917
66.073,2281963,33,2.453,62.921
68.078,2216453,31,2.453,75.508
70.079,2167317,30,2.454,54.717
72.081,2125727,32,2.454,31.742
74.083,2215705,31,2.456,32.65
76.084,2233384,29,2.491,34.068
78.085,2273746,30,2.492,33.9
80.086,2349960,30,2.493,32.917
82.087,2296706,29,2.527,30.542
84.088,2472226,41,2.694,29.782
86.09,2550211,33,2.73,43.136
88.092,2335875,29,2.766,57.847
90.095,2371408,30,2.766,49.148
92.096,2497672,31,2.766,47.77
94.097,2484086,28,2.767,48.367
96.099,2581609,29,2.769,54.867
98.102,2648813,30,2.772,59.383
100.105,2428436,29,2.808,60.322
102.107,2525439,30,2.81,61.05
104.108,2391427,30,2.81,46.383
106.111,2494464,30,2.814,30.917
108.113,2426695,30,2.816,30.283
110.114,2426747,35,2.816,30.585
112.115,2475387,31,2.817,31.967
114.117,2485237,30,2.817,31.689
116.12,2478476,29,2.853,32.203
118.121,2396351,31,2.853,31.508
120.128,2258687,31,2.861,51.833
122.124,2100931,30,2.861,60.033
124.133,2194206,30,2.861,56.852
126.135,2161579,30,2.864,57.367
128.138,2362178,30,2.866,58.283
130.139,2486196,29,2.934,56.121
132.14,2659438,30,2.935,58.55
134.144,2602545,30,2.972,59.797
136.146,2435607,24,3.34,62.204
138.146,2728522,28,3.34,33.627
140.148,2687452,28,3.442,28.456
142.151,2715799,30,3.445,29.033
144.159,2643471,29,3.487,29.119
146.162,2493804,30,3.49,30.9
148.164,2621728,32,3.49,29.79
150.171,2559347,32,3.49,30.129
152.172,2611980,30,3.491,32.533
154.176,2580205,30,3.495,44.367
156.177,2696439,37,3.495,40.561
158.179,2735348,30,3.497,41.8
160.179,2748940,30,3.497,42.617
162.184,2712191,30,3.497,45.262
164.185,2445583,29,3.499,57.15
166.187,2465388,31,3.5,63.367
168.189,2477287,29,3.502,63.917
170.192,2454780,30,3.539,55.39
172.192,2370340,29,3.572,28.102
174.194,2535747,31,3.572,29.443
176.195,2558987,27,3.707,29.214
178.196,2679845,30,3.707,30.629
180.197,2659318,29,3.741,30.271
,2449343.71910112,29.8089887640449,2.67192134831461,42.8841685393259
