elapsed_s,throughput_bps,fps,total_freeze_s,qp_avg
2.004,-1,28,0,-1
4.005,1838061,26,0.201,15.389
6.009,1823803,27,0.438,15.547
8.011,1825521,27,0.607,19.273
10.012,2377685,27,0.775,20.636
12.013,2495597,27,1.01,22.811
14.014,2502819,29,1.044,31.085
16.016,1922116,47,1.044,30.049
18.017,1729346,32,1.044,29.791
20.019,1996760,33,1.044,21.769
22.021,1981643,31,1.044,24.016
24.025,1921218,29,1.081,24.593
26.026,2014484,30,1.083,26.25
28.027,2479036,30,1.083,25.197
30.028,2235599,30,1.084,25.9
32.03,2161711,30,1.085,26.533
34.031,1853583,31,1.085,31.836
36.037,1932739,30,1.091,15.633
38.041,2247513,30,1.095,16.083
40.049,2277748,30,1.103,15.633
42.05,2131765,30,1.104,17.983
44.051,1965787,30,1.105,20.2
46.053,1945603,30,1.107,20.35
48.055,2056631,30,1.109,19.617
50.056,2204161,30,1.11,20.217
52.057,1762778,29,1.144,27.254
54.058,2022175,30,1.144,21.623
56.059,2276950,29,1.178,22.814
58.06,2274602,30,1.179,23.383
60.061,2193652,30,1.181,23.75
62.066,2165306,30,1.185,24.867
64.069,2134342,30,1.188,26.483
66.07,2105699,30,1.189,28.2
68.071,2465891,30,1.191,26.55
70.072,2430107,30,1.191,13.633
72.073,2383767,30,1.193,13.95
74.075,2396983,30,1.194,14.533
76.076,2341031,30,1.196,17.65
78.078,2492019,30,1.197,19.15
80.079,2178378,30,1.198,22.85
82.08,2257240,30,1.199,18.25
84.08,2368693,30,1.2,18.783
86.081,2280593,30,1.2,24.033
88.082,2215031,30,1.201,23.6
90.083,2643453,30,1.202,23.067
92.085,2271862,30,1.204,23.95
94.087,2138473,30,1.206,24.2
96.092,2133833,30,1.211,26.5
98.093,2451353,30,1.212,26.95
100.094,2130000,30,1.213,33.983
102.099,2133464,30,1.218,28.167
104.1,2205921,29,1.219,16.65
106.101,2201181,30,1.219,17.098
108.102,2237749,30,1.22,17.417
110.103,1977665,30,1.221,17.767
112.107,2293915,30,1.225,15.8
114.108,2302197,30,1.226,16.117
116.11,2266838,30,1.228,18.417
118.111,2229673,30,1.229,21.083
120.113,2077458,30,1.231,21.667
122.113,2046550,30,1.231,23.083
124.114,2207756,30,1.232,22.867
126.116,2261689,30,1.234,24.233
128.117,2348713,30,1.235,22.7
130.12,2580663,30,1.238,24.367
132.121,2411654,30,1.239,24.8
134.123,2314354,30,1.242,26.733
136.124,2321814,30,1.242,16.383
138.126,2395970,30,1.244,13.817
140.127,2444393,30,1.245,13.9
142.129,2435126,30,1.247,16.85
144.132,2405691,30,1.25,17.417
146.133,2451187,30,1.251,17.55
148.137,2453253,30,1.255,17.4
150.138,2437934,29,1.29,17.356
152.139,2435703,30,1.291,19.267
154.14,2420214,30,1.292,18.317
156.141,2398663,30,1.293,20.317
158.143,2429313,30,1.294,22.033
160.144,2431131,30,1.294,23.148
162.146,2447741,29,1.33,22.119
164.151,2383591,30,1.33,23.967
166.151,2326719,30,1.33,25.283
168.152,2250927,30,1.331,27.017
170.153,2402499,30,1.332,13.15
172.155,2413793,30,1.334,13.817
174.156,2444433,30,1.335,14.533
176.157,2441706,30,1.336,17.1
178.158,2460655,30,1.337,17.467
180.159,2204771,30,1.338,18.483
,2244604.57303371,30.0112359550562,1.16943820224719,21.2590337078652
