elapsed_s,throughput_bps,fps,total_freeze_s,qp_avg
2.002,-1,28,0,-1
4.004,1825563,26,0.235,15.264
6.005,1832678,28,0.403,16.127
8.008,1836993,28,0.573,18.873
10.01,1833571,27,0.774,21.074
12.011,1826806,27,0.976,20.944
14.013,1839060,27,1.178,21.13
16.014,1835969,27,1.412,19.736
18.015,1836843,27,1.613,17.611
20.016,1825249,27,1.813,22.667
22.017,1830120,28,1.982,21.909
24.018,1831626,27,2.149,24.545
26.019,1828476,28,2.283,24.286
28.023,1830143,28,2.421,25.929
30.022,1830771,28,2.454,26.441
32.024,1829027,28,2.588,29.393
34.025,1828274,27,2.756,30.382
36.026,1826957,29,2.857,32.298
38.028,1828124,28,2.992,20.214
40.03,1833810,27,2.992,16.306
42.032,1831834,28,3.128,15.893
44.034,1837565,28,3.297,18.491
46.037,1832821,27,3.466,20.473
48.038,1832939,27,3.634,21.509
50.039,1828537,28,3.802,21.236
52.041,1836511,27,4.003,20.556
54.042,1829493,28,4.138,21.429
56.043,1834713,27,4.339,22.019
58.047,1830897,28,4.51,22.909
60.048,1832009,28,4.677,24.8
62.05,1829226,28,4.845,24.727
64.051,1833347,28,5.013,26.455
66.053,1825249,27,5.182,26.527
68.057,1832923,28,5.319,29.375
70.058,1826364,28,5.454,30.464
72.06,1828246,28,5.454,32.222
74.061,1841451,28,5.555,19.035
76.062,1829019,28,5.69,15.929
78.065,1826425,28,5.825,16.125
80.066,1838385,28,5.993,18.382
82.067,1826245,27,6.161,20.764
84.068,1837582,28,6.295,20.804
86.07,1830512,28,6.464,20.982
88.071,1837345,27,6.665,20.296
90.072,1834978,27,6.832,21.909
92.074,1828515,25,7.102,22.519
94.076,1836383,27,7.27,22.109
96.077,1830763,28,7.404,24.607
98.078,1829119,27,7.572,24.545
100.079,1832893,28,7.707,26.143
102.085,1826025,28,7.845,26.714
104.086,1834921,33,7.845,29.557
106.086,1829224,28,7.946,30.807
108.088,1829906,29,8.047,32.421
110.092,1824588,29,8.151,21.491
112.092,1835158,28,8.285,16.429
114.094,1829077,33,8.285,16.279
116.1,1823649,28,8.458,19.2
118.096,1840867,28,8.621,20.836
120.097,1836180,28,8.789,20.818
122.1,1828708,28,8.958,20.8
124.101,1837873,27,9.159,20.13
126.102,1838969,27,9.327,21.291
128.104,1829264,27,9.695,21.959
130.107,1830464,27,9.865,21.345
132.108,1830269,28,9.999,24.786
134.109,1841582,28,10.134,24.768
136.11,1832424,28,10.301,25.691
138.111,1827255,27,10.469,27.018
140.113,1827204,28,10.604,29.357
142.114,1831658,28,10.738,30.411
144.116,1822071,28,10.738,32.443
146.117,1833949,29,10.806,19.862
148.121,1828474,27,10.977,16.218
150.125,1830024,28,11.114,15.982
152.127,1832011,28,11.249,19.679
154.132,1829428,28,11.421,20.818
156.132,1830178,28,11.555,21.036
158.134,1837183,29,11.689,21.179
160.139,1830107,27,11.894,20.5
162.14,1836471,28,12.029,20.946
164.141,1833504,28,12.197,22
166.142,1834774,27,12.498,21.431
168.143,1828124,28,12.632,24.125
170.144,1833875,28,12.767,24.536
172.146,1825584,27,12.935,25.873
174.147,1833089,28,13.069,26.196
176.148,1836483,28,13.204,29.393
178.151,1822061,29,13.34,30.5
180.154,1829838,35,13.34,32.175
,1831515.07865169,27.8876404494382,6.94631460674157,22.981606741573
