elapsed_s,throughput_bps,fps,total_freeze_s,qp_avg
2.003,-1,25,0,-1
4.004,2834421,29,0.135,24.839
6.006,3017524,28,0.303,24.945
8.015,3329343,29,0.378,24.776
10.018,3542866,30,0.448,23.69
12.021,3531627,30,0.518,22.724
14.021,3387544,28,0.618,23.351
16.023,3299675,29,0.72,23.544
18.024,3479979,28,0.821,28.088
20.026,3668510,30,0.823,31.8
22.027,3599268,29,0.857,30.339
24.028,3257729,28,0.958,32.211
26.029,3255049,30,0.959,38.033
28.03,3226139,30,0.96,40.7
30.031,3256227,29,0.994,42.559
32.032,3244950,30,0.995,48.083
34.033,3256282,30,0.996,48.783
36.035,3625726,31,0.996,31.049
38.036,3255339,30,1.031,21.78
40.04,3248634,30,1.034,22.367
42.041,2934548,30,1.035,24.367
44.041,2819807,29,1.069,26.814
46.044,3000199,30,1.105,27.763
48.05,3093957,30,1.111,26.033
50.047,3231813,28,1.208,24.772
52.049,3242492,29,1.243,30.153
54.054,3226008,29,1.281,33.847
56.055,2937388,29,1.316,34.661
58.056,2603949,29,1.384,40.345
60.058,2648837,32,1.384,47.328
62.059,2835102,30,1.384,47.426
64.061,2918628,30,1.419,48.254
66.062,2933618,29,1.454,49.559
68.063,3005315,29,1.488,56.136
70.064,2616079,30,1.556,34.241
72.066,2752122,27,1.657,26.351
74.069,2874926,29,1.66,26.883
76.069,2938830,30,1.661,27.65
78.071,3065081,30,1.695,27.068
80.071,3092121,29,1.729,25.288
82.072,3045937,30,1.73,26
84.075,3072628,30,1.73,25.131
86.075,3121813,29,1.764,32.203
88.077,3029072,30,1.764,36.754
90.079,3114712,30,1.766,36.633
92.082,3130862,29,1.802,36.102
94.083,3228292,30,1.804,38.583
96.087,3085060,35,1.804,38.308
98.088,3255803,31,1.805,47.967
100.089,3181706,31,1.805,50.148
102.091,2845879,29,1.84,52.034
104.091,3012719,30,1.84,32.902
106.092,3214535,29,1.841,25.967
108.093,3151102,29,1.842,24.583
110.095,3222798,29,1.976,25.482
112.097,3140021,31,1.976,28.328
114.098,3471161,30,1.978,26.917
116.101,3420111,29,2.014,24.559
118.102,3669618,30,2.015,23.85
120.104,3584157,29,2.015,30.934
122.105,3561758,29,2.016,32.4
124.106,3262952,30,2.017,35.3
126.107,3189057,29,2.051,35.407
128.108,3311499,30,2.052,37.267
130.109,3515840,29,2.087,39.203
132.111,3304635,30,2.089,40.667
134.112,3050689,30,2.089,47.317
136.113,2983910,31,2.089,51.081
138.115,3407944,29,2.124,22.203
140.116,3394682,30,2.124,22.869
142.117,3320839,30,2.192,23.31
144.118,3384732,31,2.226,24.288
146.119,3371273,29,2.261,25.356
148.12,3225289,30,2.295,24.424
150.121,3338882,30,2.33,24.356
152.123,3399270,29,2.364,26.136
154.124,3285393,31,2.364,36.787
156.125,3449165,29,2.365,34.933
158.126,3462651,28,2.4,34.729
160.127,3388893,30,2.4,32.867
162.129,3265447,30,2.403,35.15
164.131,3367164,29,2.438,44.085
166.132,3239889,30,2.438,44.574
168.133,3093520,30,2.439,47.767
170.135,3203626,30,2.442,43.367
172.138,3079164,30,2.442,23.614
174.14,3128426,26,2.576,23.446
176.141,3117952,29,2.576,24.426
178.143,3150313,26,2.778,25
180.145,3367075,34,2.778,25.547
,3198961.42696629,29.5955056179775,1.67122471910112,32.8074269662921
