elapsed_s,throughput_bps,fps,total_freeze_s,qp_avg
2.005,-1,10,0,-1
4.006,2140273,31,0.001,22.9
6.009,2018734,30,0.004,20.583
8.012,1979890,30,0.007,21.333
10.012,2021782,30,0.007,21.617
12.015,2001261,30,0.01,22.017
14.017,2011491,30,0.012,21.733
16.017,2042788,30,0.013,21.767
18.019,1994489,30,0.014,23.083
20.02,1983338,30,0.016,22.55
22.024,1934864,30,0.019,24.4
24.025,1958567,30,0.02,24.367
26.027,1934243,30,0.022,26.433
28.028,1921800,30,0.023,27.467
30.033,1888713,30,0.028,29.65
32.034,1902188,30,0.03,31.183
34.036,1834756,30,0.031,32.133
36.037,1935712,30,0.031,15.475
38.041,1923222,30,0.036,16.367
40.043,1987675,30,0.038,16.333
42.045,1963173,30,0.039,16.717
44.046,1973210,30,0.04,17.3
46.047,1933517,30,0.042,17.233
48.049,1955957,30,0.043,17.067
50.05,1952672,30,0.044,18.033
52.052,1874591,30,0.079,23.153
54.053,1921042,30,0.08,22.467
56.054,1906197,30,0.082,24.567
58.057,1916248,30,0.085,25.283
60.059,1944145,30,0.087,26.65
62.063,1931714,30,0.09,28.25
64.064,1909002,30,0.091,29.733
66.065,1883391,30,0.092,31.367
68.066,1834873,30,0.094,27.65
70.068,1919708,31,0.094,15.951
72.069,1951790,29,0.128,16.475
74.074,1980263,30,0.128,16.984
76.076,1969823,30,0.13,18.25
78.078,2004069,30,0.133,21.683
80.08,2029472,30,0.134,21.217
82.082,2049295,30,0.136,20.533
84.082,2018580,30,0.137,21.417
86.083,1969848,30,0.137,22.617
88.085,1936421,30,0.139,22.65
90.086,1928896,30,0.14,24.45
92.088,1911062,30,0.142,25.933
94.089,1947781,30,0.143,26.417
96.091,1912838,30,0.145,29.167
98.092,1898454,30,0.146,30.067
100.093,1864780,30,0.147,32.5
102.094,1881309,30,0.148,24.333
104.095,1891017,30,0.149,17.283
106.101,1933430,30,0.155,20.2
108.099,1989638,30,0.155,21.283
110.1,2011365,30,0.156,20.883
112.101,2011790,30,0.157,21.2
114.105,2029719,29,0.161,21.317
116.104,2019745,29,0.161,20.8
118.105,2009660,30,0.161,21.787
120.11,1941959,30,0.165,22.55
122.111,1968855,30,0.166,23.767
124.112,1947439,30,0.167,24.267
126.114,1948445,30,0.169,26.133
128.115,1951408,30,0.17,26.2
130.116,1886130,30,0.171,29.75
132.119,1859054,30,0.174,31.25
134.122,1817222,30,0.177,32.533
136.119,1930858,30,0.177,18.283
138.124,1927802,30,0.182,16.183
140.126,1970431,30,0.183,16.4
142.128,1949710,30,0.186,19.95
144.133,2006307,30,0.19,21.333
146.133,2036252,30,0.191,21.3
148.134,2024333,29,0.191,20.983
150.135,2010785,29,0.193,21.2
152.137,1990059,29,0.195,22.267
154.139,1952749,30,0.195,22.656
156.143,1908563,30,0.232,24.525
158.148,1893499,30,0.237,24.533
160.149,1917740,30,0.238,26.883
162.15,1930360,30,0.239,27.733
164.151,1877335,30,0.24,29.833
166.151,2017060,30,0.24,30.017
168.152,1807004,30,0.241,31.533
170.155,1924376,30,0.244,15.517
172.155,1933791,30,0.244,16.6
174.157,1996856,30,0.246,16.383
176.158,1995468,30,0.247,17.567
178.16,1933152,30,0.249,21.567
180.161,2011403,30,0.25,17.633
,1951153.66292135,29.9550561797753,0.126977528089888,22.9167078651685
