elapsed_s,throughput_bps,fps,total_freeze_s,qp_avg
2.005,-1,32,0,-1
4.006,1817219,25,0.268,17.212
6.007,1830130,27,0.503,20.528
8.014,1826635,28,0.642,21.625
10.015,1838075,27,0.81,21.745
12.017,1834180,27,0.979,21.964
14.018,1832154,26,1.18,22.019
16.019,1836106,26,1.414,21.528
18.019,1827634,26,1.648,23.396
20.021,1826630,27,1.85,24.056
22.024,1830957,28,2.019,22.491
24.025,1835237,28,2.221,25.037
26.026,1831164,27,2.421,25.13
28.027,1833198,27,2.589,26.309
30.027,1821535,28,2.723,27.304
32.03,1835968,28,2.723,29.984
34.031,1829830,28,2.857,30.857
36.033,1830300,28,2.992,32.339
38.034,1826214,28,3.127,18.25
40.037,1829908,28,3.23,16.263
42.039,1831558,28,3.23,16.387
44.041,1835675,28,3.398,16.691
46.044,1829838,27,3.568,16.927
48.044,1834320,28,3.702,17.196
50.049,1822171,28,3.839,17.321
52.051,1833705,28,3.975,17.036
54.051,1836444,28,4.109,19.536
56.053,1827092,32,4.11,23.633
58.054,1832551,28,4.244,22.661
60.054,1827086,28,4.378,24.393
62.056,1830839,28,4.513,25.929
64.058,1827697,28,4.649,26.839
66.061,1825762,34,4.649,28.532
68.062,1833756,28,4.783,29.679
70.065,1827813,28,4.887,31.351
72.069,1829275,28,4.99,29.912
74.07,1831461,29,5.091,15.561
76.07,1826012,28,5.091,16.403
78.072,1834319,28,5.226,17.625
80.073,1832047,28,5.427,21.074
82.074,1829899,28,5.561,21.161
84.077,1827754,28,5.697,21.286
86.078,1841156,28,5.832,21.125
88.079,1831732,28,5.999,21.164
90.08,1828851,27,6.167,22.127
92.081,1832276,27,6.335,22.455
94.082,1832980,28,6.469,23.839
96.082,1833146,28,6.636,24.582
98.084,1827326,28,6.771,26.125
100.085,1833673,28,6.905,26.911
102.086,1823300,29,6.905,29.27
104.086,1831365,28,7.039,30.429
106.089,1824288,28,7.141,32.263
108.091,1834688,28,7.277,24.643
110.093,1822136,34,7.277,18.302
112.094,1829663,28,7.379,16.684
114.096,1838431,28,7.513,16.679
116.098,1829307,28,7.649,18.357
118.099,1825049,28,7.783,22.071
120.103,1835446,28,7.92,21.875
122.104,1821725,28,8.055,21.089
124.106,1838803,27,8.224,21.436
126.108,1834743,27,8.359,22.196
128.108,1827413,28,8.526,23.291
130.111,1838471,28,8.661,25.804
132.111,1826991,28,8.795,25.071
134.112,1829045,32,8.797,26.233
136.115,1835239,28,8.899,27.07
138.116,1820904,28,9.034,29.732
140.117,1830837,28,9.135,31.158
142.121,1824399,28,9.272,32.75
144.122,1832941,35,9.272,19.297
146.124,1825058,28,9.407,16.321
148.124,1834926,27,9.541,15.964
150.125,1829023,28,9.675,19.143
152.127,1833400,28,9.81,21.411
154.129,1827296,28,9.946,21.982
156.131,1830532,28,10.081,21.768
158.134,1830382,27,10.251,21.091
160.14,1829529,28,10.39,21.339
162.142,1845025,27,10.558,22.509
164.144,1826022,28,10.694,23.375
166.145,1833949,27,10.861,24.473
168.146,1830211,28,10.996,25.786
170.148,1834683,28,11.131,26.357
172.15,1827156,27,11.3,27.691
174.15,1832099,28,11.434,29.482
176.152,1821462,28,11.568,31.232
178.157,1828065,35,11.568,32.406
180.158,1834243,27,11.703,15.25
,1830444.19101124,28.1123595505618,6.25003370786517,23.2222247191011
