elapsed_s,throughput_bps,fps,total_freeze_s,qp_avg
2.001,-1,33,0,-1
4.002,2866375,21,0.368,18.612
6.003,3104961,27,0.501,24.179
8.004,2934830,28,0.669,26.164
10.005,2780695,30,0.77,28.614
12.007,2854463,28,0.839,28.914
14.008,2778550,29,0.907,28.345
16.009,2875682,29,0.941,27.305
18.011,2957938,29,0.976,33.424
20.012,2853719,29,1.011,38.068
22.014,3045906,30,1.013,37.1
24.016,3041912,30,1.013,36.639
26.017,3086795,29,1.014,39.333
28.019,2907291,29,1.049,40.864
30.02,2823272,29,1.117,49.724
32.023,2731170,30,1.154,54.542
34.029,2667772,29,1.192,57.644
36.029,2715477,29,1.293,36.702
38.031,2842548,29,1.328,26.051
40.031,2915666,31,1.328,25.098
42.034,2949533,30,1.331,26.05
44.034,2918416,30,1.364,26.576
46.037,2968005,29,1.4,26.881
48.037,2889248,29,1.467,26.621
50.038,2658935,27,1.602,26.232
52.04,2796995,32,1.602,36.148
54.047,2778169,29,1.675,41.948
56.048,2903220,29,1.743,37.914
58.051,2743678,29,1.746,39.667
60.052,2850995,29,1.78,43.525
62.055,2887651,30,1.816,44.78
64.056,2924127,32,1.816,48.82
66.057,2889760,30,1.851,51.492
68.06,2955077,30,1.887,56.136
70.062,3105566,30,1.888,33.467
72.064,3019330,29,1.924,23.678
74.065,3180950,29,1.958,24.559
76.067,3183650,30,1.96,25.117
78.068,3280406,29,1.994,25.966
80.069,3210893,30,1.995,25.183
82.07,3325398,30,2.03,24.729
84.07,1911402,23,2.297,25.173
86.074,1815366,21,2.634,30.26
88.079,1833706,27,3.139,40.756
90.079,1822811,17,3.806,39.125
92.084,1820864,29,3.911,49.649
94.086,3627295,47,3.911,49.455
96.087,3575797,34,3.911,49.343
98.089,3142323,27,3.946,43.203
100.09,3057041,44,3.946,51.266
102.091,2944846,31,3.946,68.627
104.093,2675643,32,3.946,47.721
106.096,2381489,54,3.946,30.631
108.098,2425183,29,3.982,29.932
110.102,2515625,31,3.982,30.667
112.103,2498716,30,3.983,30.283
114.103,2436217,29,4.05,30.069
116.104,2579857,30,4.084,30.254
118.105,2632750,29,4.152,31.845
120.106,2651924,29,4.186,42.407
122.108,2575335,29,4.222,39.288
124.11,2762743,30,4.223,42.067
126.116,2807683,30,4.262,43.136
128.117,2860764,29,4.33,43.069
130.118,2764718,27,4.498,45.455
132.122,2791166,29,4.635,53.089
134.123,2767651,28,4.803,58.545
136.124,2730045,28,4.937,58.143
138.125,2672361,31,4.971,30.949
140.126,2644805,37,4.971,26.212
142.128,2613786,30,4.971,27.541
144.128,2674067,30,4.972,28.767
146.129,2685080,30,4.972,29.787
148.133,2532613,30,4.972,29.115
150.133,2605664,32,4.972,29.306
152.134,2586085,30,4.973,31.117
154.134,2715437,30,4.974,42.733
156.136,2590655,31,4.974,42.968
158.137,2692064,30,4.975,42.3
160.139,2605591,33,4.975,45.703
162.141,2622180,30,4.975,49.705
164.143,2599901,30,4.976,53.2
166.144,2681748,30,5.011,56.373
168.145,2709584,30,5.012,57.3
170.146,2785791,30,5.012,47.167
172.148,2713677,29,5.014,26.167
174.149,2796262,29,5.015,26.467
176.152,2731412,30,5.015,28.049
178.154,2757372,30,5.051,28.915
180.155,2711682,30,5.085,28.678
,2767885.40449438,29.9101123595506,3.06537078651685,37.244808988764
